"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"2049","E02004786","New Forest 008",4516,1,51,164,4,49,3450,251,209,295,42,351.298,142.298,277.952,3343.34009,-106.66,329.66901,120.669,277.97198,3363.00488,-86.995,778.96899,569.96899,227.41701,3023.15894,-426.841,1112.30701,903.30701,208.04401,2754.66895,-695.33099,-0.11254,208735,-0.0537,99595,-0.10542,195568,-0.04659,86428,-0.2253,417950,-0.16647,308810,-0.25774,478140,-0.19891,369000,-97266,-44325,-89617,-36676,-213315,-160374,-355523,-302582,0.01112
"2054","E02003576","Southampton 028",3878,3,91,453,19,61,2377,248,162,442,22,316.289,154.289,416.75601,2290.04492,-86.955,283.698,121.698,424.73199,2311.66797,-65.332,931.776,769.776,299.58401,1954.31604,-422.68399,1229.401,1067.401,271.17599,1760.24695,-616.75299,-0.08614,159742,-0.03719,68951,-0.06918,128314,-0.02023,37523,-0.24411,452828,-0.19516,362037,-0.24926,462387,-0.20032,371596,-59987,-25564,-55134,-20711,-141655,-107232,-217774,-183351,0.01405
"2067","E02003564","Southampton 016",3562,4,39,370,14,54,2421,254,108,282,16,201.996,93.996,273.599,2357.83789,-63.162,195.53101,87.531,274.245,2361.5979,-59.402,609.38202,501.38199,226.13,2097.68311,-323.31699,973.763,865.763,194.05299,1849.79895,-571.20099,-0.06251,115901,-0.02852,52859,-0.04854,90019,-0.01455,26977,-0.19765,366637,-0.16366,303595,-0.23446,434919,-0.20047,371877,-44948,-20321,-40444,-15817,-116339,-91712,-204189,-179562,0.01926
"2095","E02004784","New Forest 006",2328,8,72,31,2,19,1959,106,55,65,11,120.912,65.912,62.099,1902.66797,-56.332,80.706,25.706,63.44,1936.73999,-22.26,358.069,303.069,47.887,1703.60706,-255.39301,511.43201,456.43201,45.202,1567.91895,-391.08099,-0.05426,100618,-0.02632,48785,-0.03957,73401,-0.01163,21568,-0.11188,207506,-0.08394,155673,-0.13309,246860,-0.10514,195027,-47426,-22745,-35251,-10570,-108215,-83534,-185500,-160819,0.01261
"2253","E02003541","Portsmouth 018",3569,8,202,238,68,22,1271,200,290,1232,38,475.716,185.716,1143.56104,1211.67505,-59.325,360.46399,70.464,1199.28003,1248.427,-22.573,1124.04297,834.04303,793.89001,1027.24194,-243.758,1227.73901,937.73901,779.75702,970.50098,-300.49899,-0.08247,152956,-0.0252,46719,-0.06592,122282,-0.00865,16045,-0.13208,244996,-0.07481,138759,-0.1216,225566,-0.06433,119329,-42495,-14448,-35436,-7389,-75657,-47610,-105111,-77064,0.00538
"2313","E02003570","Southampton 022",3878,6,152,455,49,19,1337,389,184,1240,47,335.09698,151.097,1175.56299,1290.73206,-46.268,250.069,66.069,1211.96399,1317.82202,-19.178,989.13,805.13,867.90698,1107.52197,-229.478,1243.89905,1059.89905,790.93298,1009.57202,-327.42801,-0.04231,78450,-0.01697,31444,-0.03074,57009,-0.0054,10003,-0.1058,196233,-0.08046,149227,-0.09423,174781,-0.06889,127775,-27673,-11376,-21459,-5162,-63554,-47257,-99546,-83249,0.01224
"2318","E02004736","Fareham 010",3700,5,130,83,8,65,2819,232,130,205,23,272.099,142.099,192.718,2711.68506,-107.315,228.065,98.065,197.72701,2745.53809,-73.462,800.45099,670.45099,135.11301,2324.22998,-494.76999,1074.90503,944.90503,125.804,2099.875,-719.125,-0.08056,149384,-0.0414,76749,-0.07112,131927,-0.03196,59292,-0.21342,395880,-0.17426,323245,-0.22629,419776,-0.18714,347141,-70467,-36385,-58965,-24883,-185536,-151454,-287902,-253820,0.01337
"2388","E02003573","Southampton 025",2931,0,36,367,8,53,1862,214,88,275,28,164.354,76.354,266.88699,1814.34802,-47.652,166.65401,78.654,266.19601,1814.11694,-47.883,487.50699,399.50699,220.959,1622.16101,-239.839,782.90399,694.90399,191.121,1433.099,-428.901,-0.0574,106423,-0.02465,45689,-0.04849,89940,-0.01575,29206,-0.16738,310473,-0.13463,249739,-0.19768,366697,-0.16494,305963,-37694,-16183,-37230,-15719,-92125,-70614,-163951,-142440,0.02159
"2400","E02004750","Gosport 010",3630,6,61,163,14,59,2097,158,517,495,60,702.56,185.56,451.36899,1983.84204,-113.158,726.258,209.257,451.02399,1964.14502,-132.855,1099.70801,582.70801,355.30301,1733.53296,-363.46701,1232.68201,715.68201,345.61099,1636.40503,-460.595,-0.18665,346225,-0.04337,80416,-0.19915,369454,-0.05587,103645,-0.25522,473460,-0.11194,207651,-0.26197,485971,-0.11869,220162,-112380,-26081,-126116,-39817,-156511,-70212,-204245,-117946,0.00796
"2428","E02004708","East Hampshire 012",3826,2,320,54,9,25,2359,202,121,719,15,195.612,74.612,689.854,2321.28711,-37.713,175.877,54.877,697.021,2331.68799,-27.312,519.30603,398.306,547.87201,2170.75708,-188.243,784.33698,663.33698,472.31601,2013.61597,-345.384,-0.02223,41208,-0.0108,20007,-0.01776,32941,-0.00633,11740,-0.04083,75714,-0.0294,54513,-0.06344,117667,-0.05201,96466,-24156,-11580,-19369,-6793,-52672,-40096,-119851,-107275,0.01606
"2463","E02004722","Eastleigh 011",3263,1,84,98,6,27,2500,174,67,293,13,154.64101,87.641,277.04001,2438.21997,-61.78,132.80901,65.809,277.10001,2458.35791,-41.642,525.09302,458.09299,198.23199,2186.04907,-313.95099,781.37799,714.37799,182.78999,1977.51501,-522.48499,-0.03773,69944,-0.02304,42686,-0.0259,48024,-0.0112,20766,-0.11575,214693,-0.10106,187435,-0.15365,285009,-0.13896,257751,-34663,-21519,-24088,-10944,-107377,-94233,-211320,-198176,0.01836
"2468","E02004728","Fareham 002",4178,1,164,40,8,42,3260,221,133,280,29,238.336,105.336,267.90302,3178.63989,-81.36,227.804,94.804,269.38101,3184.22803,-75.772,648.664,515.664,209.183,2870.78296,-389.21701,956.151,823.151,191.839,2620.16699,-639.83301,-0.06662,123514,-0.02975,55123,-0.06874,127502,-0.03187,59111,-0.15241,282685,-0.11554,214294,-0.20031,371555,-0.16344,303164,-65715,-28391,-67750,-30426,-143264,-105940,-266874,-229550,0.01322
