"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"2850","E02005913","Rushcliffe 008",2688,93,182,1942,134,32,5,278,5,9,8,191.491,98.491,172.72501,1874.696,-67.304,157.381,64.381,177.91,1895.328,-46.672,594.03497,501.035,124.135,1610.3521,-331.64801,787.97699,694.97699,112.352,1465.835,-476.16501,-0.05218,96720,-0.02524,46755,-0.04428,82119,-0.01734,32154,-0.13374,248058,-0.1068,198093,-0.13807,256081,-0.11113,206116,-42360,-20023,-37180,-14843,-109049,-86712,-166921,-144584,1.21591
"2905","E02005847","Bassetlaw 013",2931,89,369,2042,285,32,0,64,11,24,15,193.883,104.883,351.117,1974.0861,-67.914,138.504,49.504,360.491,2010.5291,-31.471,682.81299,593.81299,256.40701,1667.931,-374.069,850.15198,761.15198,238.367,1544.111,-497.88901,-0.04639,86012,-0.02482,45998,-0.03077,57085,-0.0092,17071,-0.11826,219361,-0.09669,179347,-0.13493,250280,-0.11336,210266,-26647,-14456,-17701,-5510,-74901,-62710,-126867,-114676,1.63849
"2988","E02005895","Newark and Sherwood 003",3191,54,148,2696,149,63,5,54,1,16,5,102.328,48.328,141.88699,2657.9299,-38.07,72.427,18.427,146.94099,2680.27,-15.73,235.868,181.868,117.659,2559.998,-136.002,416.297,362.297,104.582,2408.396,-287.604,-0.06007,111423,-0.02846,52776,-0.04538,84184,-0.01377,25537,-0.10848,201237,-0.07687,142590,-0.17239,319806,-0.14078,261159,-45523,-22215,-35767,-12459,-85795,-62487,-193084,-169776,0.76097
"3028","E02005832","Ashfield 014",4049,103,542,2317,246,94,368,280,28,40,31,213.55099,110.551,519.349,2259.115,-57.886,198.08501,95.085,518.93799,2269.189,-47.811,690.20898,587.20898,391.18201,2028.077,-288.923,1024.04,921.03998,356.82401,1834.9189,-482.08099,-0.08583,159146,-0.0442,81923,-0.07101,131709,-0.02938,54486,-0.22894,424663,-0.18731,347440,-0.28758,533464,-0.24595,456241,-40069,-19965,-35853,-15749,-104727,-84623,-196748,-176644,1.91129
"3047","E02005838","Bassetlaw 004",3305,44,200,2502,265,23,3,209,4,36,19,140.605,96.605,189.591,2433.0769,-68.923,72.343,28.343,197.121,2480.6799,-21.32,546.88202,502.88199,139.298,2149.501,-352.49899,789.01001,745.01001,127.026,1965.01,-536.98999,-0.06941,128716,-0.04758,88225,-0.03516,65225,-0.01333,24734,-0.20848,386733,-0.18665,346242,-0.23858,442579,-0.21675,402088,-37094,-25093,-19989,-7988,-122518,-110517,-215720,-203719,1.23223
"3110","E02005871","Gedling 007",3339,46,214,2357,159,19,9,499,7,20,9,120.909,74.909,208.83299,2305.499,-51.501,102.29,56.29,207.511,2317.7,-39.299,476.11099,430.11099,177.715,2066.4919,-290.508,825.37799,779.37799,150.494,1826.295,-530.70502,-0.04419,81902,-0.02957,54797,-0.02807,52068,-0.01346,24963,-0.16694,309653,-0.15233,282548,-0.20727,384486,-0.19266,357381,-28417,-18298,-23984,-13865,-100271,-90152,-191950,-181831,2.11567
"3167","E02002892","Nottingham 025",2104,61,167,1201,131,8,10,474,17,27,8,135.44501,74.445,159.51199,1160.812,-40.188,115.576,54.576,160.021,1175.175,-25.825,447.492,386.492,122.551,994.41602,-206.584,633.55701,572.55701,109.089,888.97601,-312.02399,-0.05097,94485,-0.02919,54085,-0.03421,63442,-0.01243,23042,-0.18702,346899,-0.16524,306499,-0.19109,354460,-0.16931,314060,-22794,-12928,-16841,-6975,-71547,-61681,-113428,-103562,1.41695
"3183","E02005836","Bassetlaw 002",3643,61,132,3123,170,39,5,61,3,26,23,135.895,74.895,124.636,3061.386,-61.614,90.372,29.372,130.783,3098.8091,-24.191,368.633,307.633,95.717,2874.627,-248.373,557.36798,496.36801,88.738,2710.614,-412.38599,-0.07932,147131,-0.04239,78623,-0.06396,118649,-0.02703,50141,-0.15191,281805,-0.11498,213297,-0.22742,421900,-0.19049,353392,-54143,-28743,-44416,-19016,-108128,-82728,-227662,-202262,1.46197
"3242","E02005907","Rushcliffe 002",4087,78,355,2940,187,49,4,428,9,24,13,178.571,100.571,334.06,2876.3931,-63.607,115.087,37.087,354.5,2912.843,-27.157,535.87402,457.87399,235.968,2664.2471,-275.75299,786.95099,708.95099,215.819,2485.8811,-454.11899,-0.05644,104642,-0.03338,61866,-0.04427,82117,-0.02121,39341,-0.13105,243071,-0.10799,200295,-0.18454,342303,-0.16148,299527,-46744,-28504,-36474,-18234,-115790,-97550,-233285,-215045,1.38421
"3299","E02006904","Nottingham 039",3460,149,1300,987,93,157,51,672,18,17,16,287.21701,138.217,1238.3521,953.18597,-33.814,215.28101,66.281,1278.094,968.23499,-18.765,907.672,758.672,909.83301,825.80298,-161.19701,1112.0129,963.013,834.78198,762.29498,-224.705,-0.04687,86881,-0.01894,35063,-0.03694,68518,-0.00901,16700,-0.10706,198547,-0.07912,146729,-0.09176,170155,-0.06382,118337,-21131,-8549,-18193,-5611,-45953,-33371,-72405,-59823,NA
"3397","E02005853","Broxtowe 004",4071,66,267,3048,220,19,94,299,6,37,15,166.942,100.942,256.44199,2975.9609,-72.039,121.775,55.775,264.54099,3006.5549,-41.445,608.62,542.62,195.578,2671.7759,-376.224,976.87299,910.87299,171.09399,2398.8459,-649.15399,-0.06133,113683,-0.03641,67468,-0.04307,79877,-0.01815,33662,-0.20158,373890,-0.17666,327675,-0.24918,462210,-0.22426,415995,-45891,-27292,-35955,-17356,-143538,-124939,-267928,-249329,1.84824
"3439","E02005869","Gedling 005",2323,37,328,1303,149,10,7,444,11,23,11,92.898,55.898,317.98099,1273.948,-29.052,70.431,33.431,321.272,1285.4301,-17.57,371.672,334.672,254.632,1141.42,-161.58,595.93402,558.93402,224.55701,1020.006,-282.99399,-0.03241,60060,-0.01745,32306,-0.02246,41652,-0.0075,13898,-0.10188,188951,-0.08692,161197,-0.12463,231148,-0.10966,203394,-19535,-9729,-15586,-5780,-56013,-46207,-104957,-95151,2.80325
"3451","E02005894","Newark and Sherwood 002",4171,47,287,3253,286,20,4,205,16,35,18,137.116,90.116,273.45099,3190.1521,-62.848,73.814,26.814,284.09698,3234.113,-18.887,489.20499,442.20499,207.002,2957.7141,-295.28601,783.80499,736.80499,185.617,2728.469,-524.53101,-0.0641,118865,-0.04324,80168,-0.03236,60025,-0.0115,21328,-0.18465,342539,-0.16379,303842,-0.25083,465304,-0.22996,426607,-43876,-29473,-23558,-9155,-129901,-115498,-269379,-254976,1.45207
"3493","E02005918","Rushcliffe 013",2107,44,261,1443,118,10,3,198,4,22,4,92.028,48.028,251.271,1413.4969,-29.503,73.717,29.717,251.09399,1427.778,-15.222,290.858,246.858,197.145,1302.578,-140.422,465.64499,421.64499,171.188,1187.244,-255.756,-0.0316,58578,-0.01691,31321,-0.02164,40130,-0.00694,12873,-0.07801,144676,-0.06332,117419,-0.09876,183161,-0.08406,155904,-26219,-13338,-18967,-6086,-65351,-52470,-124539,-111658,1.22809
"3497","E02005887","Mansfield 008",3921,94,742,2094,532,49,6,331,29,23,21,209.80099,115.801,712.95099,2036.067,-57.933,163.867,69.867,723.66498,2059.7029,-34.297,767.23499,673.23499,548.284,1774.035,-319.966,1084.371,990.37097,487.69,1601.212,-492.78799,-0.05689,105476,-0.03171,58776,-0.03627,67274,-0.01109,20574,-0.16185,300214,-0.13667,253514,-0.18032,334494,-0.15515,287794,-31741,-16440,-24937,-9636,-92916,-77615,-161193,-145892,2.09281
"3539","E02005877","Gedling 013",3528,84,237,2187,219,25,11,681,25,41,18,164.84599,80.846,230.85201,2138.739,-48.261,157.283,73.283,229.48199,2144.0029,-42.997,563.56799,479.56799,194.383,1908.3831,-278.617,952.07501,868.07501,164.06799,1674.124,-512.87598,-0.05151,95472,-0.02405,44542,-0.04211,78089,-0.01465,27159,-0.15526,287979,-0.1278,237049,-0.19092,354144,-0.16346,303214,-30199,-13880,-27739,-11420,-86221,-69902,-158502,-142183,1.97088
"3552","E02005914","Rushcliffe 009",3333,45,299,2300,231,23,3,381,6,31,14,133.657,88.657,283.51801,2247.0259,-52.974,101.041,56.041,288.604,2267.9399,-32.06,474.70099,429.70099,205.576,2056.052,-243.948,728.341,683.341,182.526,1885.8781,-414.12201,-0.05243,97202,-0.0343,63569,-0.03682,68300,-0.01869,34667,-0.15039,278963,-0.13226,245330,-0.17752,329291,-0.15939,295658,-40525,-25873,-29991,-15339,-119576,-104924,-218236,-203584,1.16028
"3597","E02005829","Ashfield 011",2879,27,154,2319,202,12,15,108,13,23,6,69.965,42.965,150.866,2285.322,-33.678,43.182,16.182,153.55499,2305.1311,-13.869,276.19699,249.19701,130.60899,2129.627,-189.373,557.40802,530.40802,112.718,1905.375,-413.625,-0.03837,71101,-0.02295,42505,-0.02556,47398,-0.01014,18802,-0.12777,236971,-0.11235,208375,-0.1967,364856,-0.18129,336260,-24286,-14161,-18995,-8870,-76866,-66741,-177969,-167844,2.96866
"3651","E02005872","Gedling 008",2324,50,114,1840,80,32,3,179,1,20,5,106.288,56.288,109.31,1796.342,-43.658,86.153,36.153,113.353,1812.151,-27.849,309.14401,259.14401,84.406,1644.297,-195.703,504.07901,454.07901,75.512,1487.0081,-352.992,-0.05527,102471,-0.02734,50662,-0.04483,83150,-0.0169,31341,-0.13453,249521,-0.1066,197712,-0.17285,320622,-0.14492,268813,-38631,-19428,-33786,-14583,-94590,-75387,-177806,-158603,1.40789
"3708","E02005861","Broxtowe 012",2763,270,421,1425,98,199,5,296,9,29,11,401.34799,131.34801,396.194,1355.567,-69.433,381.42999,111.43,398.39899,1366.766,-58.234,781.75897,511.759,306.54199,1168.8361,-256.164,933.84998,663.84998,293.146,1076.067,-348.93301,-0.09469,175593,-0.03075,56970,-0.0824,152852,-0.01846,34229,-0.17337,321578,-0.10942,202955,-0.1683,312176,-0.10436,193553,-63361,-19661,-59671,-15971,-108175,-64475,-147859,-104159,0.5768
"3800","E02002897","Nottingham 030",3061,165,190,2048,130,51,12,425,15,14,11,278.11899,113.119,181.55299,1973.579,-74.421,239.382,74.382,183.41701,2004.047,-43.953,663.65503,498.655,142.74001,1718.0081,-329.992,917.14001,752.14001,126.998,1542.8101,-505.19,-0.10631,197141,-0.04654,86280,-0.07986,148139,-0.0201,37278,-0.28557,529719,-0.2258,418858,-0.29908,554802,-0.23932,443941,-51846,-24255,-40649,-13058,-129312,-101721,-200724,-173133,1.37516
