"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"1323","E02004121","South Derbyshire 004",3068,6,43,86,8,25,2577,125,79,109,10,165.01601,86.016,104.308,2504.21606,-72.784,142.795,63.795,102.959,2525.17603,-51.824,460.284,381.284,82.268,2260.34692,-316.65302,685.96399,606.96399,73.803,2065.29297,-511.70599,-0.08568,158880,-0.04779,88582,-0.05656,104909,-0.01866,34611,-0.19429,360378,-0.15639,290080,-0.22176,411353,-0.18387,341055,-58650,-31985,-47929,-21264,-154226,-127561,-258670,-232005,0.00869
"1368","E02004082","Erewash 005",2863,2,12,141,5,26,2337,136,44,157,3,92.485,48.485,152.651,2298.80811,-38.192,81.897,37.897,154.338,2305.75195,-31.248,292.302,248.302,127.157,2149.42505,-187.575,558.74701,514.74701,107.7,1934.51904,-402.48099,-0.04822,89371,-0.02348,43481,-0.04399,81587,-0.01925,35697,-0.11658,216215,-0.09184,170325,-0.17371,322202,-0.14897,276312,-36395,-17435,-33715,-14755,-88682,-69722,-195052,-176092,0.02419
"1396","E02002802","Derby 007",2956,1,19,426,37,36,1591,235,136,463,12,245.033,109.033,441.823,1535.59802,-55.402,234.416,98.416,440.44699,1540.53699,-50.463,700.65198,564.65198,340.93799,1314.28101,-276.71899,953.73297,817.73297,299.88101,1173.97595,-417.02399,-0.06838,126794,-0.03012,55818,-0.05594,103773,-0.01768,32797,-0.16637,308599,-0.12811,237623,-0.17132,317777,-0.13306,246801,-33239,-14724,-30470,-11955,-82730,-64215,-132532,-114017,0.01514
"1459","E02004087","Erewash 010",3572,1,36,316,15,55,2359,196,226,358,10,380.677,154.677,329.96301,2261.53003,-97.47,350.49799,124.498,335.42401,2281.27905,-77.721,868.70697,642.70697,236.092,1958.64197,-400.358,1085.53503,859.53497,222.838,1799.19495,-559.80499,-0.09476,175715,-0.04291,79537,-0.08595,159434,-0.0341,63256,-0.20654,383102,-0.15469,286924,-0.22512,417567,-0.17327,321389,-64556,-28280,-58694,-22418,-141997,-105721,-221184,-184908,0.00655
"1505","E02004105","North East Derbyshire 001",4645,150,5,290,10,47,3484,322,26,300,11,96.327,70.327,291.01099,3434.88696,-49.113,45.652,19.652,297.14099,3470.802,-13.198,438.79599,412.79599,234.086,3207.45093,-276.54901,827.52197,801.52197,204.96201,2919.7959,-564.20398,-0.033,61146,-0.025,46297,-0.01338,24806,-0.00537,9957,-0.14256,264416,-0.13456,249567,-0.24459,453713,-0.23658,438864,-25154,-19115,-9996,-3957,-91896,-85857,-236352,-230313,0.03249
"1549","E02004088","Erewash 011",3670,6,113,217,7,29,2691,185,162,242,18,316.85199,154.85201,223.39999,2579.49292,-111.507,262.68701,100.687,233.91901,2614.48193,-76.518,836.02197,674.02197,152.09,2212.50806,-478.492,1051.49805,889.49799,145.79601,2040.91199,-650.08801,-0.10868,201539,-0.05061,93821,-0.10053,186477,-0.04246,78759,-0.24372,452080,-0.18565,344362,-0.2632,488227,-0.20513,380509,-77778,-34612,-72795,-29629,-174416,-131250,-267147,-223981,0.00639
"1559","E02004029","Amber Valley 001",2773,1,23,144,16,28,1793,202,56,507,3,135.89999,79.9,484.293,1747.69397,-45.306,105.856,49.856,493.64899,1763.92102,-29.079,528.27502,472.27499,356.87399,1538.18896,-254.811,755.48102,699.48102,317.021,1387.45496,-405.54501,-0.02834,52505,-0.01444,26713,-0.02242,41590,-0.00852,15798,-0.07915,146760,-0.06524,120968,-0.10563,195908,-0.09173,170116,-24063,-11931,-21554,-9422,-64797,-52665,-128684,-116552,0.02514
"1730","E02002825","Derby 030",3744,3,31,230,18,30,2816,193,158,251,14,329.39801,171.39799,235.162,2686.24609,-129.754,249.215,91.215,239.617,2749.88208,-66.118,950.17603,792.17603,167.06599,2229.55908,-586.44098,1188.64001,1030.64001,154.985,2041.36096,-774.63898,-0.11764,218175,-0.06315,117094,-0.07758,143912,-0.02309,42831,-0.31478,583938,-0.26029,482857,-0.3155,585266,-0.26101,484185,-67635,-36327,-48466,-17158,-182821,-151513,-269307,-237999,0.01311
"1784","E02004123","South Derbyshire 006",2733,2,22,53,6,24,2146,120,66,277,17,121.67,55.67,263.21201,2108.90991,-37.09,113.077,47.077,262.04001,2117.56104,-28.439,318.50201,252.502,202.26801,1989.823,-156.177,523.20001,457.20001,177.41,1828.86597,-317.134,-0.05245,97247,-0.02444,45279,-0.03885,72053,-0.01083,20085,-0.09703,179952,-0.06902,127984,-0.13727,254616,-0.10926,202648,-38032,-17788,-33673,-13429,-84076,-63832,-176879,-156635,0.02361
"1792","E02004119","South Derbyshire 002",5196,4,73,134,7,27,4382,242,76,231,20,213.464,137.464,215.698,4273.86084,-108.139,132.776,56.776,225.26199,4335.646,-46.354,708.57599,632.57599,145.64,3899.77197,-482.228,1037.88196,961.88202,137.29601,3613.21802,-768.78198,-0.10849,201218,-0.06912,128183,-0.05976,110848,-0.02039,37813,-0.25718,477097,-0.21781,404062,-0.3241,601252,-0.28473,528217,-75369,-47525,-51615,-23771,-209648,-181804,-389996,-362152,0.00675
