"","Name","N. commuters (all modes)","Current %","Expected %","Current (n)","Expected (n)","% v. short car","Short trips (%)"
"285","West Lancashire",52045,1.660102,2.284758,864,1189,45.520362,30.5735421270055
"286","Mid Devon",38866,1.793341,1.772221,697,689,41.901253,23.792003293367
"287","Staffordshire Moorlands",47942,0.953235,2.04143,457,979,49.517335,23.8684243460849
"288","Maidstone",78511,1.169263,2.365661,918,1857,39.102142,31.7598807810371
"289","Reigate and Banstead",71716,1.65514,2.291297,1187,1643,42.566953,28.9516983657761
"290","Salford",107288,2.332041,3.231607,2502,3467,34.755074,42.6944299455671
"291","Tameside",102255,1.37206,3.379008,1403,3455,44.197138,40.4547454892181
"292","Havant",55875,2.933333,2.490442,1639,1392,48.745396,33.6912751677852
"293","Mid Sussex",72805,1.335073,2.112109,972,1538,42.215757,28.2617952063732
"294","Tonbridge and Malling",60326,1.380831,2.268404,833,1368,43.686051,24.3659450319928
"295","Swindon",109872,4.193971,3.401162,4608,3737,42.442403,47.5635284694918
"296","Westminster",117303,4.558281,3.682115,5347,4319,5.770916,49.443748241733
"297","Barnsley",104015,0.686439,2.595297,714,2699,44.075409,35.1160890256213
"298","Fareham",56774,3.630183,2.526127,2061,1434,50.669165,31.459823158488
"299","Halton",57771,2.063319,3.252965,1192,1879,47.48952,41.6073808658323
"300","Fenland",44777,4.549211,2.379431,2037,1065,48.801838,31.0248565111553
"301","North Somerset",98256,2.710267,2.322419,2663,2282,48.956964,30.7635157140531
"302","St. Helens",78862,1.389769,2.976695,1096,2347,48.334401,38.4316908016535
"303","Greenwich",118330,2.261472,2.142441,2676,2535,27.875991,24.4004056452294
"304","Southwark",147995,7.07659,3.330309,10473,4929,10.690578,41.6210007094834
"305","Lambeth",167205,7.741993,3.051834,12945,5103,12.996815,28.4148201309769
"306","Harlow",40562,2.526996,2.770376,1025,1124,42.052632,43.1660174547606
"307","Blackburn with Darwen",60726,0.976517,3.131416,593,1902,46.958,46.5764252544215
"308","Thanet",55589,2.464516,3.175885,1370,1765,40.965347,44.0554786018817
"309","East Cambridgeshire",44228,2.783305,1.618861,1231,716,43.98527,17.5703174459618
"310","West Somerset",15557,2.404062,2.532141,374,394,39.310345,29.0094491225815
"311","County Durham",228857,0.96829,2.461227,2216,5633,43.000735,30.0117540647653
"312","Forest of Dean",39372,1.142944,1.953976,450,769,51.734408,23.4430559788682
"313","North Tyneside",96409,2.437532,3.22221,2350,3107,43.124924,39.6965013639805
"314","East Hampshire",58977,1.6481,1.835127,972,1082,44.685568,21.4303881174017
"315","South Oxfordshire",70714,3.555166,2.017605,2514,1427,35.428418,24.8776762734395
"316","Blaby",48510,2.696351,2.704389,1308,1312,49.991158,32.0614306328592
"317","West Oxfordshire",57076,4.013946,2.063937,2291,1178,43.004739,25.0823463452239
"318","Gedling",55929,1.866652,3.060276,1044,1712,44.234197,35.0193995959162
"319","Eastleigh",66048,2.501211,2.602424,1652,1719,49.130576,28.789668120155
"320","Rotherham",115323,0.859326,2.688677,991,3101,48.157669,33.5050250166922
"321","Bedford",76270,3.786548,2.765482,2888,2109,42.4271,39.9593549232988
"322","South Bucks",33442,1.297769,1.834095,434,613,49.915626,21.8079062257042
"323","Rushcliffe",55665,2.931824,2.302421,1632,1282,42.927763,26.7115781909638
"324","Wealden",71755,0.962999,1.819045,691,1305,50.39317,20.7483799038395
"325","Bristol, City of",210925,7.489392,3.667262,15797,7735,28.68751,51.809410928055
