"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"2110","E02002480","Wakefield 043",2391,35,386,1479,241,109,1,101,23,8,8,105.722,70.722,367.36099,1441.162,-37.838,75.753,40.753,370.802,1460.417,-18.583,448.70499,413.70499,268.86099,1264.9091,-214.091,586.99799,551.99799,248.218,1174.623,-304.37701,-0.01654,30632,-0.01411,26123,-0.00482,8945,-0.00239,4436,-0.06477,120112,-0.06234,115603,-0.0962,178427,-0.09377,173918,-10990,-9232,-3966,-2208,-40542,-38784,-89395,-87637,1.15831
"2140","E02002354","Leeds 025",3394,51,211,2268,205,48,4,543,26,21,17,118.532,67.532,204.58099,2224.769,-43.231,93.871,42.871,207.22099,2241.625,-26.375,462.39001,411.39001,163.591,2008.782,-259.21799,835.46002,784.46002,141.188,1765.481,-502.51901,-0.03513,65067,-0.01936,35829,-0.0229,42455,-0.00713,13217,-0.1438,266688,-0.12803,237450,-0.20259,375767,-0.18682,346529,-22048,-12832,-16607,-7391,-76146,-66930,-161607,-152391,3.02357
"2147","E02002189","Bradford 007",2383,15,318,1467,185,198,2,139,30,12,17,47.505,32.505,312.60699,1447.41,-19.591,26.357,11.357,316.62701,1460.516,-6.484,226.856,211.856,273.64099,1343.375,-123.625,458.453,443.453,230.912,1204.057,-262.94299,-0.02358,43695,-0.01379,25527,-0.01454,26971,-0.00475,8803,-0.07093,131523,-0.06113,113355,-0.10978,203622,-0.09999,185454,-11795,-6965,-8151,-3321,-36379,-31549,-87003,-82173,3.40701
"2171","E02002400","Leeds 071",3221,78,621,1275,211,69,8,880,57,12,10,168.255,90.255,600.15503,1242.514,-32.486,128.92101,50.921,608.39899,1257.136,-17.864,647.91699,569.91699,474.90399,1077.522,-197.478,976.42102,898.42102,410.47,948.26398,-326.73599,-0.02993,55429,-0.01535,28385,-0.01956,36279,-0.00498,9235,-0.11916,220995,-0.10458,193951,-0.13013,241338,-0.11555,214294,-16043,-7685,-12898,-4540,-50304,-41946,-88502,-80144,2.45081
"2207","E02006875","Leeds 111",4277,64,2345,824,93,448,8,427,39,9,20,165.843,101.843,2275.429,810.06702,-13.933,93.154,29.154,2329.8921,818.75299,-5.247,815.55402,751.55402,1785.673,739.64203,-84.358,1169.068,1105.068,1569.912,678.737,-145.263,-0.01224,22620,-0.0053,9746,-0.00815,15115,-0.00121,2241,-0.02391,44266,-0.01697,31392,-0.01985,36731,-0.0129,23857,-6421,-3911,-3369,-859,-21574,-19064,-46040,-43530,NA
"2208","E02002257","Calderdale 014",1963,21,427,1014,179,75,1,186,22,6,32,47.656,26.656,418.702,1001.567,-12.433,30.395,9.395,424.44601,1009.511,-4.489,218.655,197.655,358.80899,925.755,-88.245,428.60501,407.60501,308.63101,821.67902,-192.321,-0.00834,15404,-0.00426,7832,-0.00574,10638,-0.00165,3066,-0.02769,51312,-0.02361,43740,-0.05078,94148,-0.0467,86576,-5061,-2386,-3812,-1137,-15948,-13273,-44483,-41808,4.83251
"2225","E02002268","Calderdale 025",4290,48,586,2819,284,67,4,406,19,44,13,107.497,59.497,575.09998,2782.425,-36.575,98.247,50.247,582.526,2786.1069,-32.893,445.07999,397.07999,494.32599,2588.134,-230.866,931.776,883.776,415.90201,2279.5681,-539.43201,-0.03582,66361,-0.01927,35661,-0.03114,57746,-0.01458,27046,-0.12254,227255,-0.10599,196555,-0.19672,364872,-0.18016,334172,-19709,-11106,-17961,-9358,-67648,-59045,-170722,-162119,4.53751
"2246","E02002290","Kirklees 020",2746,32,173,2101,159,79,2,155,18,21,6,82.015,50.015,168.073,2064.593,-36.407,59.184,27.184,170.772,2081.137,-19.863,341.181,309.181,135.174,1881.838,-219.162,613.96698,581.96698,117.113,1673.234,-427.76599,-0.02763,51142,-0.01608,29720,-0.01783,33060,-0.00628,11638,-0.10233,189739,-0.09077,168317,-0.15128,280569,-0.13973,259147,-19796,-11276,-13847,-5327,-66048,-57528,-146533,-138013,2.75473
"2287","E02002475","Wakefield 038",2618,16,82,2151,143,77,5,105,4,21,14,75.818,59.818,79.13,2103.906,-47.094,33.274,17.274,81.195,2137.5,-13.499,338.74301,322.74301,62.716,1901.062,-249.938,536.29602,520.29602,57.038,1737.385,-413.61499,-0.0375,69471,-0.02958,54775,-0.01468,27233,-0.00676,12537,-0.15256,282942,-0.14463,268246,-0.19948,369997,-0.19156,355301,-23510,-18709,-9579,-4778,-89874,-85073,-179686,-174885,2.17045
"2301","E02002356","Leeds 027",3532,73,234,2542,156,129,9,361,7,12,9,139.69099,66.691,228.41701,2496.7671,-45.233,134.179,61.179,232.41,2500.1621,-41.838,430.673,357.673,189.067,2304.053,-237.946,799.89398,726.89398,161.632,2038.918,-503.082,-0.05871,108797,-0.02569,47554,-0.04871,90350,-0.0157,29107,-0.17147,318014,-0.13845,256771,-0.24501,454450,-0.21199,393207,-37652,-17187,-36647,-16182,-95597,-75132,-205260,-184795,2.95789
"2352","E02002266","Calderdale 023",2602,19,272,1898,133,88,0,159,10,17,6,49.904,30.904,267.09201,1877.058,-20.942,35.47,16.47,269.138,1887.231,-10.769,217.985,198.985,233.668,1768.592,-129.408,496.815,477.815,194.907,1573.255,-324.745,-0.01863,34476,-0.01159,21412,-0.01098,20358,-0.00393,7294,-0.06959,129008,-0.06254,115944,-0.12301,228129,-0.11597,215065,-11216,-7209,-6922,-2915,-42351,-38344,-116350,-112343,3.89061
"2353","E02002283","Kirklees 013",2600,17,430,1566,273,110,3,134,52,6,9,52.572,35.572,423.88101,1544.179,-21.821,23.996,6.996,428.65799,1561.516,-4.484,273.314,256.314,378.46201,1412.564,-153.436,568.79901,551.79901,323.121,1234.8361,-331.164,-0.01376,25424,-0.00922,17005,-0.00574,10632,-0.00119,2213,-0.06053,112211,-0.05599,103792,-0.09458,175371,-0.09004,166952,-8720,-5724,-4023,-1027,-35771,-32775,-84585,-81589,3.93597
"2357","E02002321","Kirklees 051",3051,27,172,2294,199,86,5,219,17,23,9,66.145,39.145,169.185,2265.7839,-28.216,56.263,29.263,167.979,2273.011,-20.989,240.66701,213.66701,151.993,2144.7219,-149.278,509.94699,482.94699,133.966,1944.453,-349.547,-0.02867,53088,-0.01811,33507,-0.01919,35585,-0.00863,16004,-0.1036,192117,-0.09304,172536,-0.17007,315429,-0.15951,295848,-19731,-12462,-14946,-7677,-63245,-55976,-161341,-154072,4.50255
"2364","E02002431","Leeds 102",4032,48,424,2594,287,162,1,436,42,26,12,137.55299,89.553,412.246,2540.0271,-53.973,98.078,50.078,416.42001,2566.3259,-27.674,602.37799,554.37799,333.60599,2271.4089,-322.591,1018.444,970.44397,286.548,2010.455,-583.54498,-0.04146,76801,-0.02734,50609,-0.02327,43154,-0.00915,16962,-0.18734,347457,-0.17322,321265,-0.24258,449935,-0.22845,423743,-25991,-17601,-17162,-8772,-97921,-89531,-198783,-190393,2.2559
"2367","E02002201","Bradford 019",5834,39,397,4227,395,177,2,506,44,34,13,120.769,81.769,391.26501,4167.873,-59.128,76.484,37.484,394.51401,4199.6929,-27.307,552.08301,513.08301,348.504,3866.2759,-360.724,1194.194,1155.194,296.24899,3408.291,-818.70898,-0.06595,122247,-0.04234,78445,-0.03779,70084,-0.01417,26282,-0.23978,444754,-0.21617,400952,-0.38424,712769,-0.36063,668967,-35829,-22484,-24485,-11140,-124547,-111202,-298118,-284773,3.64483
"2382","E02002282","Kirklees 012",2702,11,327,1751,262,73,2,195,55,11,15,57.08,46.08,319.29401,1722.869,-28.131,19.543,8.543,325.25601,1745.714,-5.286,345.60599,334.60599,265.82101,1551.074,-199.92599,643.323,632.323,227.37801,1360.927,-390.073,-0.01435,26533,-0.01076,19878,-0.00521,9659,-0.00162,3004,-0.07185,133202,-0.06826,126547,-0.1074,199164,-0.10381,192509,-9670,-6932,-4211,-1473,-43488,-40750,-101047,-98309,3.64786
"2385","E02002338","Leeds 009",3155,52,343,2024,121,479,1,100,11,13,11,112.332,60.332,328.901,1989.2889,-34.711,96.977,44.977,334.61401,1996.058,-27.942,389.34799,337.34799,242.24699,1838.123,-185.877,647.56,595.56,220.256,1665.751,-358.24899,-0.04036,74785,-0.01835,33950,-0.03001,55649,-0.00799,14814,-0.10818,200601,-0.08616,159766,-0.18364,340611,-0.16162,299776,-25090,-12000,-21868,-8778,-62609,-49519,-148926,-135836,2.64773
