"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"920","E02006149","Lichfield 004",4187,98,693,2621,295,272,3,146,15,33,11,193.32899,95.329,665.828,2568.729,-52.271,142.19,44.19,680.29999,2597.178,-23.822,613.29303,515.29303,509.577,2364.561,-256.439,917.65698,819.65698,449.203,2176.8701,-444.13,-0.05362,99380,-0.02525,46760,-0.04094,75929,-0.01257,23309,-0.10666,197784,-0.0783,145164,-0.15531,288037,-0.12694,235417,-41225,-19873,-30588,-9236,-91098,-69746,-190542,-169190,1.79159
"921","E02002960","Stoke-on-Trent 010",2738,40,225,1973,241,18,1,183,26,23,8,108.21,68.21,217.925,1925.0959,-47.904,83.596,43.596,221.356,1942.021,-30.979,472.66199,432.66199,174.474,1675.8669,-297.133,774.64697,734.64697,148.004,1456.0811,-516.91901,-0.03978,73752,-0.02373,43983,-0.02509,46538,-0.00904,16769,-0.15025,278705,-0.1342,248936,-0.181,335751,-0.16495,305982,-21528,-12986,-16587,-8045,-80153,-71611,-149068,-140526,2.70456
"1021","E02006155","Lichfield 010",2415,51,224,1803,168,19,2,104,6,23,15,116.8,65.8,213.995,1756.62,-46.38,95.312,44.312,215.715,1773.087,-29.913,404.41101,353.41101,160.71899,1562.314,-240.686,594.98199,543.98199,144.989,1416.396,-386.604,-0.0321,59464,-0.01991,36854,-0.02193,40660,-0.00973,18050,-0.09312,172675,-0.08093,150065,-0.11902,220723,-0.10683,198113,-26223,-15698,-18283,-7758,-78256,-67731,-148324,-137799,1.67508
"1029","E02002957","Stoke-on-Trent 007",4519,35,187,3670,345,28,2,199,14,34,5,142.823,107.823,181.575,3584.2271,-85.773,65.048,30.048,186.386,3644.2041,-25.796,678.42401,643.42401,145.274,3168.9751,-501.02499,1148.067,1113.067,125.519,2788.3501,-881.65002,-0.07248,134417,-0.05389,99927,-0.02761,51209,-0.00902,16719,-0.31216,579087,-0.29356,544597,-0.37851,702196,-0.35991,667706,-39559,-29294,-18828,-8563,-166089,-155824,-310275,-300010,2.42797
"1035","E02006139","East Staffordshire 009",2944,126,750,1522,263,47,1,134,67,18,16,297.74399,171.744,689.09003,1441.632,-80.368,189.84801,63.848,726.58301,1492.652,-29.348,978.35797,852.35797,436.19699,1130.7629,-391.237,1080.306,954.30603,426.68799,1064.124,-457.87601,-0.03359,62281,-0.02046,37927,-0.01913,35481,-0.006,11127,-0.09522,176615,-0.08209,152261,-0.08649,160426,-0.07336,136072,-25152,-15211,-14554,-4613,-75205,-65264,-111473,-101532,0.8482
"1319","E02006138","East Staffordshire 008",2560,121,428,1539,246,27,2,103,46,35,13,263.42899,142.429,394.51199,1457.4611,-81.539,189.65199,68.652,409.98499,1500.965,-38.035,790.41803,669.41803,263.694,1159.594,-379.40601,893.36902,772.36902,255.72,1088.257,-450.74301,-0.04812,89239,-0.02537,47034,-0.03417,63377,-0.01142,21172,-0.12335,228815,-0.1006,186610,-0.11605,215267,-0.0933,173062,-31753,-17243,-21734,-7224,-85675,-71165,-122381,-107871,0.50427
"1325","E02006118","Cannock Chase 001",3423,67,233,2715,202,65,2,93,9,24,13,122.434,55.434,226.571,2672.687,-42.313,129.336,62.336,222.5,2670.9871,-44.013,345.70599,278.70599,188.45,2514.615,-200.38499,609.95099,542.95099,163.521,2306.343,-408.65701,-0.04823,89401,-0.02405,44557,-0.03592,66621,-0.01174,21777,-0.10593,196481,-0.08176,151637,-0.16808,311773,-0.14391,266929,-38446,-18462,-33965,-13981,-83817,-63833,-190233,-170249,2.36211
"1337","E02006187","South Staffordshire 014",2919,21,169,2456,109,86,5,43,3,18,9,58.614,37.614,164.354,2426.0769,-29.923,48.75,27.75,163.42599,2436.281,-19.719,223.83701,202.83701,134.842,2302.8611,-153.13901,455.405,434.405,115.862,2108.054,-347.94601,-0.02448,45312,-0.01549,28639,-0.02093,38824,-0.01194,22151,-0.07279,134945,-0.0638,118272,-0.12326,228568,-0.11427,211895,-23561,-15008,-17874,-9321,-72349,-63796,-182383,-173830,2.41475
"1409","E02006186","South Staffordshire 013",5243,50,221,4418,259,100,20,121,3,36,15,156.55701,106.557,213.243,4329.8188,-88.181,91.576,41.576,216.36,4384.7578,-33.242,634.922,584.922,168.105,3942.866,-475.134,1083.363,1033.363,150.75999,3557.2029,-860.797,-0.05432,100664,-0.03909,72405,-0.03027,56134,-0.01503,27875,-0.18968,351784,-0.17444,323525,-0.26748,496139,-0.25225,467880,-49487,-34988,-26447,-11948,-174374,-159875,-367514,-353015,2.34882
"1628","E02006207","Staffordshire Moorlands 004",2646,26,138,2177,178,21,1,79,2,16,8,68.262,42.262,134.00301,2143.9031,-33.097,53.314,27.314,134.839,2155.6919,-21.308,268.95599,242.95599,106.986,1995.13,-181.869,500.44101,474.44101,93.485,1805.293,-371.707,-0.02734,50676,-0.01626,30110,-0.02082,38608,-0.00973,18042,-0.08159,151330,-0.07051,130764,-0.12613,233962,-0.11505,213396,-23823,-13457,-18756,-8390,-69509,-59143,-159532,-149166,4.38664
