"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"3170","E02005528","Broadland 009",3989,5,30,295,11,71,2709,269,300,269,30,458.07101,158.071,255.047,2595.66992,-113.33,449.31201,149.312,259.436,2600.76807,-108.232,978.72803,678.72803,199.817,2226.21997,-482.78,1293.76697,993.76703,181.77,1992.84399,-716.15601,-0.12266,227525,-0.04195,77805,-0.1135,210546,-0.03279,60826,-0.21854,405421,-0.13783,255701,-0.23231,430972,-0.15161,281252,-88352,-29948,-88612,-30208,-173371,-114967,-252571,-194167,0.01349
"3197","E02005553","King's Lynn and West Norfolk 003",2909,10,21,89,3,30,2221,185,108,227,15,188.666,80.666,214.839,2163.29297,-57.706,146.32001,38.32,222.45599,2192.71509,-28.285,452.414,344.414,167.819,1982.73303,-238.267,633.46503,525.46503,151.74699,1841.21899,-379.78101,-0.07858,145785,-0.03074,57022,-0.06101,113184,-0.01316,24421,-0.12905,239407,-0.0812,150644,-0.16353,303394,-0.11569,214631,-56576,-21267,-46540,-11231,-95296,-59987,-173018,-137709,0.01204
"3213","E02005523","Broadland 004",3507,2,19,236,6,46,2831,162,77,104,24,186.056,109.056,97.905,2743.55005,-87.45,142.36,65.36,101.958,2780.33594,-50.664,574.53198,497.53201,71.367,2434.29395,-396.70599,858.39801,781.39801,65.881,2201.37891,-629.62097,-0.08556,158697,-0.04972,92225,-0.06248,115884,-0.02664,49412,-0.20854,386869,-0.1727,320397,-0.23873,442881,-0.2029,376409,-64091,-36973,-52184,-25066,-178820,-151702,-302407,-275289,0.01081
"3330","E02005601","South Norfolk 005",2433,5,45,148,8,21,1707,130,96,257,16,179.23399,83.234,238.117,1652.87305,-54.127,139.311,43.311,244.27,1680.45105,-26.549,457.513,361.513,166.55701,1478.85095,-228.149,601.74701,505.74701,156.666,1370.34595,-336.65399,-0.05096,94517,-0.02532,46949,-0.03537,65604,-0.00972,18036,-0.10021,185894,-0.07457,138326,-0.12123,224880,-0.09558,177312,-41455,-18857,-31393,-8795,-88928,-66330,-152082,-129484,0.0062
"3465","E02005521","Broadland 002",3552,11,20,102,9,56,2837,150,98,243,26,171.983,73.983,229.74001,2782.33911,-54.661,132.892,34.892,236.601,2812.34302,-24.658,367.814,269.814,182.175,2646.3479,-190.65199,587.04102,489.04099,164.494,2466.698,-370.302,-0.06529,121100,-0.029,53776,-0.04776,88591,-0.01147,21267,-0.09982,185160,-0.06353,117836,-0.16281,302032,-0.12652,234708,-63996,-28637,-49518,-14159,-109702,-74343,-238735,-203376,NA
"3505","E02005611","South Norfolk 015",4360,4,155,68,18,41,2777,266,280,728,23,442.715,162.715,676.75201,2681.7959,-95.204,369.80701,89.807,690.12097,2732.86304,-44.137,967.55103,687.55103,509.742,2376.45093,-400.54901,1219.43201,939.43201,459.52802,2203.92993,-573.07001,-0.07032,130444,-0.02914,54059,-0.04714,87448,-0.00596,11063,-0.1315,243948,-0.09032,167563,-0.13012,241385,-0.08894,165000,-70092,-27827,-50502,-8237,-145435,-103170,-219503,-177238,0.01037
"3508","E02005582","North Norfolk 013",2537,2,15,45,11,30,1976,128,105,193,32,195.49899,90.499,177.548,1910,-66,149.868,44.868,183.965,1944.47705,-31.523,459.909,354.909,127.991,1722.229,-253.771,601.90198,496.90201,117.788,1604.51904,-371.48099,-0.078,144687,-0.03945,73174,-0.05258,97549,-0.01403,26036,-0.13013,241397,-0.09158,169884,-0.15345,284665,-0.1149,213152,-51731,-25940,-36252,-10461,-107611,-81820,-183532,-157741,0.00184
"3557","E02005544","Great Yarmouth 007",2854,0,25,236,24,32,1445,204,171,657,60,339.48199,168.48199,603.97998,1359.573,-85.427,246.51199,75.512,633.48297,1405.96997,-39.03,990.95801,819.95801,390.33499,1035.60498,-409.39499,1059.81104,888.81097,382.517,990.698,-454.302,-0.06072,112627,-0.02854,52943,-0.04656,86359,-0.01438,26675,-0.13229,245407,-0.10011,185723,-0.10528,195299,-0.0731,135615,-27874,-13493,-22753,-8372,-72032,-57651,-90945,-76564,0.00551
"3581","E02005585","Norwich 002",4486,0,34,330,39,60,2156,265,437,1130,35,649.49799,212.498,1058.39099,2053.38892,-102.611,612.35602,175.356,1072.65198,2072.88501,-83.115,1363.57703,926.57703,791.07599,1726.74597,-429.254,1648.76099,1211.76099,720.06799,1571.11902,-584.88098,-0.09085,168509,-0.02447,45375,-0.09058,168022,-0.0242,44888,-0.15731,291824,-0.09093,168690,-0.14493,268840,-0.07855,145706,-71583,-20216,-71709,-20342,-120700,-69333,-168824,-117457,0.01656
"3617","E02005562","King's Lynn and West Norfolk 012",2874,8,26,63,5,15,2405,162,68,97,25,147.52,79.52,92.482,2338.16797,-66.832,88.175,20.175,96.507,2387.49805,-17.502,395.89899,327.89899,77.434,2129.98901,-275.01099,594.92102,526.92102,72.119,1958.24695,-446.75299,-0.08654,160536,-0.05068,94013,-0.04905,90993,-0.01319,24470,-0.20138,373599,-0.16552,307076,-0.23641,438592,-0.20055,372069,-55249,-31292,-35496,-11539,-142173,-118216,-243093,-219136,NA
