"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"1640","E02002781","York 010",4993,4,132,353,33,30,1758,232,585,1833,33,821.86603,236.866,1723.203,1670.30298,-87.697,741.789,156.789,1751.75195,1707.98901,-50.011,1534.97705,949.97699,1351.31299,1440.02698,-317.97299,1801.45605,1216.45605,1224.77502,1341.54199,-416.45801,-0.05317,98623,-0.01492,27673,-0.045,83463,-0.00675,12513,-0.07917,146862,-0.04092,75912,-0.0501,92921,-0.01185,21971,-63350,-18161,-55146,-9957,-101306,-56117,-132188,-86999,0.00941
"1885","E02002787","York 016",4378,10,117,360,27,63,2060,212,654,853,22,855.78302,201.783,795.987,1958.92395,-101.076,892.73401,238.73399,779.448,1946.59094,-113.409,1287.66602,633.66602,651.383,1754.08704,-305.91299,1533.22498,879.22498,596.841,1620.65002,-439.35001,-0.1139,211280,-0.02587,47974,-0.11533,213946,-0.0273,50640,-0.15839,293835,-0.07036,130529,-0.15519,287888,-0.06716,124582,-100340,-22841,-105141,-27642,-137028,-59529,-178630,-101131,0.00852
"2117","E02005817","Selby 009",3219,2,82,90,4,19,2669,197,20,124,12,86.565,66.565,117.246,2617.60693,-51.393,40.101,20.101,122.975,2652.35205,-16.648,322.439,302.439,84.221,2443.62695,-225.373,511.35901,491.35901,78.09,2286.19702,-382.80301,-0.038,70439,-0.02831,52464,-0.01941,35999,-0.00972,18024,-0.11188,207498,-0.10219,189523,-0.15942,295715,-0.14973,277740,-35738,-27341,-17407,-9010,-105912,-97515,-222432,-214035,0.00275
"2136","E02005749","Craven 008",4248,4,189,226,8,20,2962,260,66,496,17,176.582,110.582,477.87201,2887.47095,-74.528,133.77699,67.777,484.15201,2917.823,-44.177,672.80603,606.80603,377.634,2566.66992,-395.32901,1021.34998,955.34998,333.23499,2320.34009,-641.65997,-0.0693,128517,-0.04191,77714,-0.04962,92048,-0.02223,41245,-0.2001,371179,-0.17271,320376,-0.2246,416643,-0.19721,365840,-43467,-26599,-33713,-16845,-138325,-121457,-246644,-229776,NA
"2139","E02002790","York 019",5258,4,178,328,29,32,1730,162,818,1952,25,1026.54504,208.545,1845.06396,1659.56995,-70.43,979.70801,161.70799,1872.56494,1674.27002,-55.73,1488.30701,670.30701,1585.63904,1518.66895,-211.33099,1796.00098,978.00098,1429.401,1413.37097,-316.629,-0.08477,157238,-0.0126,23351,-0.08871,164573,-0.01654,30686,-0.10173,188715,-0.02956,54828,-0.0831,154154,-0.01093,20267,-90551,-15449,-93233,-18131,-114657,-39555,-142540,-67438,0.01059
"2221","E02005747","Craven 006",3101,3,123,124,21,11,1620,201,51,930,17,112.479,61.479,903.97699,1592.77405,-27.226,102.212,51.212,907.68298,1598.005,-21.995,463.04901,412.04901,739.039,1448.53699,-171.463,735.15997,684.15997,645.27197,1310.58704,-309.41299,-0.02298,42599,-0.01107,20497,-0.01917,35561,-0.00726,13459,-0.04938,91579,-0.03747,69477,-0.06566,121776,-0.05374,99674,-13955,-7255,-12298,-5598,-38668,-31968,-84296,-77596,0.0313
"2326","E02005756","Hambleton 007",3290,4,33,28,2,18,2121,143,194,725,22,297.35501,103.355,676.82703,2071.66699,-49.333,237.028,43.028,710.35303,2095.47607,-25.525,576.26202,382.26199,533.48999,1950.96594,-170.034,770.23199,576.23199,475.31,1829.04504,-291.95499,-0.0328,60845,-0.01114,20661,-0.03658,67860,-0.01492,27676,-0.03991,74024,-0.01824,33840,-0.04732,87777,-0.02566,47593,-58947,-20204,-55879,-17136,-92753,-54010,-165614,-126871,NA
"2427","E02005791","Ryedale 004",2638,2,19,59,6,23,2103,170,71,164,21,108.511,37.511,158.955,2074.73999,-28.26,92.918,21.918,161.492,2086.43604,-16.564,182.293,111.293,147.437,2020.50903,-82.491,336.69901,265.69901,131.492,1899.95496,-203.045,-0.05214,96722,-0.02139,39675,-0.0439,81437,-0.01315,24390,-0.07796,144635,-0.04721,87588,-0.12161,225616,-0.09086,168569,-43837,-17780,-40040,-13983,-68530,-42473,-154318,-128261,NA
"2431","E02005762","Harrogate 002",2888,4,32,73,8,14,1704,171,148,708,26,234.246,86.246,673.62903,1661.06006,-42.94,224.063,76.063,672.19299,1670.48596,-33.514,582.19501,434.19501,529.31403,1493.57397,-210.42599,783.04498,635.04498,467.897,1377.50403,-326.496,-0.01678,31121,-0.00853,15803,-0.01168,21659,-0.00342,6341,-0.03861,71626,-0.03036,56308,-0.04899,90882,-0.04073,75564,-24077,-11399,-19922,-7244,-55326,-42648,-106678,-94000,0.01663
"2437","E02005809","Selby 001",3449,2,21,204,5,23,2431,189,90,476,8,174.679,84.679,450.39899,2381.03906,-49.961,157.388,67.388,456.586,2390.60303,-40.397,481.423,391.423,339.91199,2213.98608,-217.01401,724.65601,634.65601,299.25699,2044.10999,-386.89001,-0.04064,75324,-0.02073,38398,-0.0361,66961,-0.01619,30035,-0.08372,155259,-0.06382,118333,-0.12549,232755,-0.10558,195829,-45665,-22513,-41665,-18513,-97910,-74758,-203425,-180273,NA
"2477","E02005760","Hambleton 011",2985,3,36,107,4,27,2292,138,108,251,19,197.61301,89.613,233.752,2230.3811,-61.619,144.158,36.158,246.28999,2264.29004,-27.71,446.457,338.457,184.97,2060.20093,-231.799,602.78003,494.78,172.668,1934.00403,-357.996,-0.04258,78970,-0.02372,43988,-0.03689,68435,-0.01803,33453,-0.09501,176246,-0.07615,141264,-0.11575,214733,-0.0969,179751,-49197,-26772,-40471,-18046,-110955,-88530,-194268,-171843,0.00982
"2503","E02005811","Selby 003",4107,2,82,229,8,39,3239,216,77,199,16,192.756,115.756,184.356,3153.81104,-85.189,95.099,18.099,198.748,3224.67212,-14.328,554.47101,477.47101,128.849,2895.4939,-343.50601,774.44501,697.44501,121.739,2717.85596,-521.14398,-0.06911,128173,-0.04303,79798,-0.03794,70377,-0.01186,22002,-0.17347,321814,-0.1474,273439,-0.21058,390648,-0.1845,342273,-62566,-39306,-33869,-10609,-160155,-136895,-282890,-259630,0.00284
"2538","E02005750","Hambleton 001",3050,4,42,49,1,13,2411,147,42,311,30,131.92599,89.926,292.32401,2347.62891,-63.371,79.801,37.801,302.87601,2384.25806,-26.742,485.465,443.465,206.845,2111.27588,-299.724,663.98199,621.98199,191.855,1962.23596,-448.76401,-0.03098,57437,-0.01984,36773,-0.01983,36782,-0.00869,16118,-0.07846,145536,-0.06732,124872,-0.10712,198707,-0.09598,178043,-34694,-22714,-21334,-9354,-94383,-82403,-188777,-176797,0.00762
"2667","E02005812","Selby 004",4415,7,240,80,9,23,3300,259,88,391,18,199.388,111.388,366.664,3227.26001,-72.74,156.914,68.914,375.75201,3255.09106,-44.909,592.64899,504.64899,263.892,2984.57104,-315.42899,841.98798,753.98798,241.005,2794.85498,-505.14499,-0.05149,95449,-0.02902,53775,-0.04208,78052,-0.01961,36378,-0.11346,210433,-0.09099,168759,-0.17683,327986,-0.15436,286312,-53880,-30383,-43921,-20424,-120972,-97475,-257666,-234169,0.00657
