"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"3618","E02005739","Northumberland 017",4079,47,235,3013,333,35,11,332,18,28,27,157.882,110.882,226.47501,2934.2241,-78.776,98.319,51.319,230.843,2977.0659,-35.934,656.94501,609.94501,175.562,2592.01,-420.98999,991.008,944.008,155.313,2345.5481,-667.45203,-0.0714,132400,-0.05048,93604,-0.03878,71925,-0.01786,33129,-0.22466,416749,-0.20374,377953,-0.28435,527507,-0.26344,488711,-40746,-29439,-23066,-11759,-136589,-125282,-257596,-246289,1.2792
"3941","E02005708","Northumberland 003",3748,62,615,2660,195,48,8,73,3,36,48,97.932,35.932,605.03802,2637.229,-22.771,98.953,36.953,603.57599,2637.5061,-22.494,201.291,139.291,572.26898,2575.469,-84.531,459.13699,397.13699,504.35101,2408.843,-251.157,-0.04753,88178,-0.01818,33723,-0.043,79775,-0.01365,25320,-0.08132,150877,-0.05197,96422,-0.12567,233159,-0.09632,178704,-33231,-12856,-32024,-11649,-57912,-37537,-156568,-136193,NA
"3973","E02005741","Northumberland 021",3729,41,248,2834,244,24,7,271,8,18,34,137.692,96.692,236.05499,2763.906,-70.094,79.305,38.305,245.474,2804.0691,-29.931,550.49298,509.49301,170.116,2476.5139,-357.48599,837.86298,796.86298,155.17101,2251.28,-582.71997,-0.0682,126473,-0.0466,86415,-0.03933,72947,-0.01773,32889,-0.20059,372095,-0.179,332037,-0.26397,489688,-0.24238,449630,-40974,-28215,-26344,-13585,-130900,-118141,-256074,-243315,NA
"4242","E02005707","Northumberland 002",2640,29,337,1891,187,58,6,73,10,19,30,90.306,61.306,326.577,1847.817,-43.183,58.293,29.293,332.20499,1870.151,-20.849,463.55701,434.55701,263.431,1584.825,-306.17499,667.43701,638.43701,229.742,1440.516,-450.48401,-0.01396,25888,-0.00882,16371,-0.00764,14180,-0.00251,4663,-0.05658,104978,-0.05145,95461,-0.05476,101597,-0.04963,92080,-9538,-6359,-5289,-2110,-43247,-40068,-68978,-65799,NA
"4323","E02005731","Northumberland 038",5051,45,599,3501,355,132,11,316,38,27,27,102.742,57.742,588.151,3463.968,-37.032,93.418,48.418,590.13898,3470.583,-30.417,388.98801,343.98801,512.14502,3297.1599,-203.84,825.479,780.479,437.78601,3013.0911,-487.909,-0.04979,92312,-0.02811,52109,-0.03689,68440,-0.01522,28237,-0.1093,202724,-0.08763,162521,-0.22107,410102,-0.1994,369899,-31348,-17738,-24892,-11282,-73795,-60185,-213431,-199821,2.81836
"4461","E02005734","Northumberland 009",2239,52,209,1499,215,12,4,217,5,7,19,124.874,72.874,198.44901,1454.741,-44.259,98.207,46.207,204.634,1469.23,-29.77,419.448,367.448,144.994,1285.134,-213.866,571,519,133.151,1180.316,-318.68399,-0.04553,84415,-0.02651,49143,-0.03288,60986,-0.01386,25714,-0.11478,212902,-0.09576,177630,-0.14239,264134,-0.12337,228862,-25180,-14897,-19068,-8785,-67158,-56875,-124759,-114476,1.30479
"4605","E02005738","Northumberland 014",2338,34,222,1698,188,15,3,154,4,8,12,108.979,74.979,209.821,1646.575,-51.425,54.436,20.436,219.06599,1683.996,-14.004,452.224,418.224,146.237,1417.507,-280.49301,593.03003,559.03003,137.11501,1309.421,-388.57901,-0.03284,60881,-0.02254,41777,-0.01693,31396,-0.00663,12292,-0.0928,172124,-0.0825,153020,-0.12566,233095,-0.11536,213991,-20543,-14459,-10944,-4860,-63430,-57346,-125308,-119224,2.056
"4837","E02005702","Northumberland 004",2598,55,300,1826,151,80,12,124,5,17,28,101.052,46.052,292.85199,1795.114,-30.886,75.797,20.797,297.06699,1811.15,-14.85,309.15201,254.15199,260.20001,1655.928,-170.07201,519.03003,464.03,229.55499,1510.48,-315.51999,-0.03452,64036,-0.01525,28299,-0.02644,49057,-0.00718,13320,-0.09096,168759,-0.0717,133022,-0.09886,183419,-0.0796,147682,-21694,-9368,-18182,-5856,-61146,-48820,-108046,-95720,3.33333
"5023","E02005725","Northumberland 033",2432,36,211,1821,132,22,84,80,6,10,30,89.183,53.183,202.121,1783.58,-37.42,62.618,26.618,207.668,1802.1331,-18.867,304.12201,268.12201,154.903,1640.8571,-180.14301,488.241,452.241,137.78101,1500.808,-320.19199,-0.04995,92596,-0.02693,49908,-0.0377,69929,-0.01469,27241,-0.11084,205582,-0.08783,162894,-0.15862,294212,-0.1356,251524,-31792,-16706,-26212,-11126,-76711,-61625,-158711,-143625,1.75829
"5055","E02005730","Northumberland 035",5338,67,1285,3272,316,148,12,153,17,23,45,175.871,108.871,1240.772,3218.155,-53.845,121.192,54.192,1264.47,3244.1851,-27.815,715.78198,648.78198,1003.747,2965.677,-306.323,1125.924,1058.924,854.94098,2749.7739,-522.22601,-0.04472,82951,-0.01826,33873,-0.03657,67839,-0.01011,18761,-0.08596,159465,-0.0595,110387,-0.05758,106820,-0.03113,57742,-35816,-17619,-29117,-10920,-100248,-82051,-183829,-165632,2.465
"5100","E02005716","Northumberland 028",4228,82,344,2914,364,41,17,387,23,27,29,217.60201,135.60201,325.35501,2824.823,-89.177,138.996,56.996,336.75101,2877.375,-36.625,792.76801,710.76801,229.649,2458.9041,-455.09601,1092.302,1010.302,213.04201,2243.019,-670.98102,-0.08903,165111,-0.05682,105347,-0.05315,98596,-0.02094,38832,-0.24176,448467,-0.20954,388703,-0.29631,549677,-0.2641,489913,-47283,-30443,-29528,-12688,-143857,-127017,-261454,-244614,1.31507
"5455","E02005726","Northumberland 034",2950,40,231,2331,138,23,49,87,2,7,42,95.785,55.785,221.94901,2289.9651,-41.035,64.26,24.26,227.612,2313.8411,-17.159,315.96799,275.96799,174.427,2139.2471,-191.75301,535.62201,495.62201,154.104,1964.366,-366.634,-0.04976,92248,-0.02856,52926,-0.03445,63896,-0.01325,24574,-0.1137,210888,-0.0925,171566,-0.18285,339165,-0.16165,299843,-33285,-19215,-24986,-10916,-82302,-68232,-191072,-177002,2.45281
"5645","E02005715","Northumberland 029",3442,89,465,2065,294,27,15,399,35,25,28,195.989,106.989,444.08099,2004.828,-60.172,159.638,70.638,447.19299,2028.559,-36.441,646.00598,557.00598,333.138,1768.483,-296.517,875.60199,786.60199,312.966,1618.756,-446.24399,-0.07907,146628,-0.04296,79636,-0.05407,100284,-0.01795,33292,-0.17819,330523,-0.14207,263531,-0.22305,413756,-0.18694,346764,-38279,-21259,-27546,-10526,-97684,-80664,-181124,-164104,1.30444
"5773","E02005703","Northumberland 005",2875,41,924,1615,146,28,2,72,19,7,21,83.367,42.367,904.034,1595.326,-19.674,91.551,50.551,899.49402,1592.062,-22.938,297.97699,256.97699,797.60999,1499.6851,-115.315,566.16498,525.16498,677.95801,1370.218,-244.782,-0.01117,20729,-0.00429,7955,-0.01108,20557,-0.0042,7783,-0.01785,33122,-0.01097,20348,0.00929,-17234,0.01617,-30008,-14211,-6218,-16043,-8050,-38891,-30898,-81793,-73800,NA
"5789","E02005718","Northumberland 031",3055,86,218,2150,274,19,17,254,14,8,15,194.313,108.313,205.244,2075.397,-74.603,150.976,64.976,211.08701,2104.823,-45.177,609.56299,523.56299,148.034,1797.618,-352.38199,831.427,745.427,137.179,1633.598,-516.40198,-0.08437,156447,-0.04781,88646,-0.06016,111580,-0.0236,43779,-0.20889,387481,-0.17234,319680,-0.24042,445970,-0.20386,378169,-47152,-25732,-37260,-15840,-126027,-104607,-213673,-192253,1.1409
"5911","E02005706","Northumberland 001",4108,88,1148,2120,364,75,3,230,27,19,34,193.25999,105.26,1110.1,2069.52,-50.48,171.95599,83.956,1116.52,2080.6421,-39.358,746.20398,658.20398,913.172,1803.231,-316.76901,1139.558,1051.558,771.95398,1613.6219,-506.37799,-0.02108,39097,-0.00996,18481,-0.01765,32740,-0.00654,12124,-0.06124,113615,-0.05013,92999,-0.0108,20034,0.00031,-582,-20720,-10667,-19235,-9182,-72747,-62694,-116150,-106097,2.57649
"6449","E02005732","Northumberland 039",3526,28,238,2753,195,126,15,128,6,13,24,77.619,49.619,230.08701,2718.1599,-34.84,43.292,15.292,236.588,2741.0071,-11.993,284.41699,256.41699,185.77901,2582.051,-170.94901,497.65701,469.65701,164.078,2421.4319,-331.56799,-0.04488,83226,-0.02448,45384,-0.02958,54866,-0.00918,17024,-0.10195,189118,-0.08155,151276,-0.1632,302758,-0.1428,264916,-32609,-17279,-24604,-9274,-74512,-59182,-175908,-160578,NA
"6501","E02005713","Northumberland 026",3368,53,105,2696,238,19,22,174,11,16,34,161.425,108.425,99.742,2610.937,-85.064,72.092,19.092,104.535,2680.5229,-15.477,585.95001,532.95001,74.51,2284.5779,-411.422,789.91199,736.91199,71.863,2112.1631,-583.83698,-0.06665,123586,-0.04679,86762,-0.02654,49232,-0.00669,12408,-0.19141,355066,-0.17156,318242,-0.2457,455796,-0.22585,418972,-41119,-28846,-17376,-5103,-125574,-113301,-234862,-222589,1.2415
"6723","E02005735","Northumberland 010",3020,88,659,1624,306,12,5,286,11,12,17,199.263,111.263,621.802,1572.507,-51.493,150.356,62.356,636.05701,1596.821,-27.179,691.17902,603.17902,432.54501,1363.521,-260.479,845.27802,757.27802,415.15701,1267.12,-356.88,-0.04527,83942,-0.02516,46643,-0.03007,55766,-0.00996,18467,-0.10343,191852,-0.08332,154553,-0.13135,243661,-0.11125,206362,-25810,-14480,-18665,-7335,-65071,-53741,-121989,-110659,1.18214
