"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"5689","E02003834","Cheshire East 045",3072,3,103,155,14,33,1768,256,185,541,14,328.92999,143.92999,505.62399,1683.60095,-84.399,273.80899,88.809,522.50702,1714.75098,-53.249,866.91498,681.91498,359.129,1381.13306,-386.867,1030.63501,845.63501,334.91,1273.82996,-494.17001,-0.06487,120304,-0.02644,49008,-0.06186,114754,-0.02343,43458,-0.13057,242199,-0.09214,170903,-0.12487,231629,-0.08644,160333,-44500,-18485,-42287,-16272,-100390,-74375,-140901,-114886,0.01514
"5741","E02002614","Warrington 025",2501,9,73,28,3,17,2182,82,31,65,11,78.941,47.941,63.177,2140.05005,-41.95,60.905,29.905,63.226,2156.34912,-25.651,291.798,260.798,53.3,1956.56201,-225.438,476.09698,445.09698,47.344,1793.29102,-388.70901,-0.03528,65356,-0.02373,43944,-0.02051,38048,-0.00897,16636,-0.11234,208343,-0.1008,186931,-0.14845,275340,-0.13691,253928,-23504,-16612,-13600,-6708,-77836,-70944,-154459,-147567,0.00932
"5748","E02003868","Cheshire East 016",3754,2,128,78,31,20,2393,233,89,769,11,177.01199,88.012,744.95801,2340.46899,-52.531,151.64799,62.648,749.60901,2357.30298,-35.697,650.54199,561.54199,598.44598,2072.12598,-320.87399,990.43103,901.43103,513.62799,1861.19495,-531.80499,-0.03902,72330,-0.01689,31277,-0.03315,61492,-0.01102,20439,-0.08438,156477,-0.06225,115424,-0.10696,198386,-0.08483,157333,-29048,-13099,-24906,-8957,-73162,-57213,-141419,-125470,0.02386
"5781","E02003850","Cheshire West and Chester 013",2547,2,47,123,10,26,1870,225,72,161,11,172.992,100.992,150.909,1798.29199,-71.708,113.782,41.782,158.084,1839.20105,-30.799,581.90601,509.90601,104.895,1510.97302,-359.02701,723.61902,651.61902,97.953,1404.42505,-465.57501,-0.05628,104351,-0.03246,60158,-0.03601,66795,-0.01219,22602,-0.15544,288332,-0.13161,244139,-0.15468,286925,-0.13086,242732,-34870,-19653,-23955,-8738,-104126,-88909,-150703,-135486,0.00232
"5793","E02003854","Cheshire East 002",2732,6,174,17,2,10,2100,122,60,225,16,145.724,85.724,213.112,2036.28101,-63.72,105.005,45.005,221.74699,2064.18506,-35.815,477.745,417.745,156.132,1797.65698,-302.34299,676.63202,616.63202,145.49699,1633.50598,-466.49399,-0.06005,111319,-0.03612,66934,-0.04701,87194,-0.02308,42809,-0.15386,285355,-0.12993,240970,-0.18059,334954,-0.15666,290569,-40710,-24766,-31565,-15621,-119026,-103082,-205919,-189975,0.01372
"5822","E02002612","Warrington 023",4103,10,115,112,7,23,3205,183,91,339,18,216.85001,125.85,324.50201,3109.03394,-95.966,157.65601,66.656,331.159,3153.85107,-51.149,755.383,664.383,244.093,2718.36694,-486.633,1041.13599,950.13599,217.67999,2490.43799,-714.56201,-0.07992,148171,-0.04643,86038,-0.05622,104282,-0.02272,42149,-0.22036,408721,-0.18686,346588,-0.25254,468434,-0.21905,406301,-52715,-31291,-37805,-16381,-150097,-128673,-256068,-234644,0.01936
"5823","E02003877","Cheshire West and Chester 015",3975,7,110,76,7,23,3335,184,29,195,9,75.112,46.112,189.425,3299.72607,-35.274,55.209,26.209,190.66701,3316.448,-18.552,259.75699,230.757,157.82899,3168.49194,-166.508,520.98798,491.98801,136.55701,2957.9541,-377.04599,-0.03997,74088,-0.02508,46461,-0.02728,50596,-0.01238,22969,-0.09758,180965,-0.08268,153338,-0.17592,326313,-0.16102,298686,-29731,-18773,-20729,-9771,-77147,-66189,-203352,-192394,NA
"5854","E02003837","Cheshire East 049",4973,9,157,41,4,40,4197,234,89,165,37,245.474,156.474,156.039,4064.05591,-132.944,134.218,45.218,162.72099,4159.67383,-37.326,895.73999,806.73999,113.814,3516.12109,-680.87903,1151.37805,1062.37805,107.944,3290.13501,-906.86401,-0.08405,155879,-0.05156,95613,-0.05319,98674,-0.02071,38408,-0.22883,424493,-0.19634,364227,-0.25684,476471,-0.22436,416205,-60401,-37645,-38000,-15244,-179636,-156880,-298031,-275275,0.00665
"5967","E02003883","Cheshire West and Chester 023",4519,11,116,31,7,21,3852,171,68,224,18,170.099,102.099,213.68201,3768.0249,-83.975,125.906,57.906,220.13,3802.89795,-49.102,603.34998,535.34998,159.565,3421.92993,-430.07001,881.82202,813.82202,145.827,3178.87695,-673.12299,-0.06413,118911,-0.03906,72419,-0.04494,83370,-0.01988,36878,-0.16941,314242,-0.14435,267750,-0.23254,431363,-0.20747,384871,-49273,-31065,-35767,-17559,-137903,-119695,-274024,-255816,0.01668
"6036","E02003859","Cheshire East 007",4344,29,104,41,4,13,3702,174,65,188,24,153.235,88.235,181.118,3628.21704,-73.783,118.577,53.577,183.30701,3658.17505,-43.825,484.38,419.38,148.617,3357.91797,-344.08099,780.375,715.375,135.08299,3100.42212,-601.578,-0.07051,130695,-0.04376,81081,-0.04953,91875,-0.02278,42261,-0.16877,312992,-0.14202,263378,-0.25253,468402,-0.22578,418788,-55751,-34270,-38823,-17342,-141904,-120423,-301074,-279593,0.01547
