"","geo_code","geo_label","All","light_rail","train","bus","taxi","motorbike","Car","car_passenger","Bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"830","E02003409","Slough 003",5060,36,443,163,28,34,3507,275,127,425,22,339.16699,212.16701,397.983,3359.29004,-147.71001,229.533,102.533,413.97,3437.14502,-69.855,1158.06299,1031.06299,277.42801,2801.8689,-705.13098,1471.97998,1344.97998,257.677,2564.56592,-942.43298,-0.10308,191122,-0.06702,124237,-0.06196,114919,-0.0259,48034,-0.33198,615810,-0.29593,548925,-0.33297,617646,-0.29691,550761,-73291,-47868,-47389,-21966,-229852,-204429,-348809,-323386,0.00739
"907","E02003399","Reading 011",6773,25,1378,777,21,26,2058,217,238,2000,33,431.81,193.81,1925.20398,1998.45496,-59.545,339.763,101.763,1960.83496,2025.93103,-32.069,1317.56799,1079.56799,1481.78699,1775.625,-282.375,1736.40503,1498.40503,1339.26001,1636.40002,-421.60001,-0.07175,133048,-0.02895,53656,-0.0538,99787,-0.011,20395,-0.177,328310,-0.1342,248918,-0.20388,378193,-0.16108,298801,-40606,-17805,-31242,-8441,-86335,-63534,-147446,-124645,0.01448
"913","E02003418","Slough 012",4153,62,256,391,26,32,2751,246,108,266,15,308.92999,200.92999,246.983,2615.70288,-135.297,176.59399,68.594,256.90701,2704.95898,-46.041,1083.73999,975.73999,160.25101,2105.10303,-645.89697,1311.34094,1203.34094,154.38499,1936.76697,-814.23297,-0.10181,188761,-0.06335,117418,-0.05338,99014,-0.01492,27671,-0.32095,595335,-0.28249,523992,-0.30589,567399,-0.26743,496056,-65699,-40756,-38322,-13379,-201563,-176620,-285177,-260234,0.00454
"952","E02003410","Slough 004",4393,42,276,349,42,23,2670,428,115,423,25,324.30801,209.308,394.22,2541.75903,-128.241,171.495,56.495,414.108,2636.5061,-33.494,1176.76904,1061.76904,268.30399,2026.75903,-643.24103,1408.94104,1293.94104,252.332,1871.00598,-798.99402,-0.07433,137792,-0.04938,91513,-0.03406,63156,-0.0091,16877,-0.25245,468236,-0.22749,421957,-0.24167,448254,-0.21672,401975,-47713,-31998,-23103,-7388,-157792,-142077,-229711,-213996,0.00559
"959","E02003427","Windsor and Maidenhead 007",3449,15,342,59,29,18,2180,184,111,501,10,214.591,103.591,478.39999,2114.94995,-65.05,169.64799,58.648,485.806,2146.14795,-33.852,655.68799,544.68799,363.466,1853.96301,-326.03699,901.08301,790.08301,322.98001,1688.10706,-491.89301,-0.04312,79919,-0.02384,44152,-0.0259,48042,-0.00662,12275,-0.11005,204104,-0.09077,168337,-0.12551,232778,-0.10623,197011,-36911,-20489,-23591,-7169,-100933,-84511,-173867,-157445,0.00994
"1007","E02003366","Bracknell Forest 015",3911,11,155,65,3,31,2520,147,105,756,118,228.742,123.742,721.54401,2447.13208,-72.868,156.356,51.356,747.01801,2484.25195,-35.748,783.289,678.289,533.367,2154.24609,-365.754,1027.75806,922.758,495.92499,1978.21704,-541.78302,-0.03171,58731,-0.01813,33549,-0.02239,41521,-0.00881,16339,-0.09635,178663,-0.08277,153481,-0.11064,205183,-0.09706,180001,-40748,-23297,-27755,-10304,-113369,-95918,-198609,-181158,0.01113
"1107","E02003449","Wokingham 011",4192,9,168,304,10,37,3163,167,106,209,19,238.873,132.873,198.84399,3064.33594,-98.664,168.03799,62.038,203.451,3120.62793,-42.372,776.67499,670.67499,150.61099,2674.93994,-488.06,1075.36499,969.36499,135.274,2447.97705,-715.02301,-0.0505,93619,-0.02981,55244,-0.03486,64654,-0.01417,26279,-0.1591,295104,-0.13841,256729,-0.17777,329733,-0.15708,291358,-52899,-31831,-32255,-11187,-156447,-135379,-259851,-238783,0.01179
"1133","E02003371","West Berkshire 005",2864,4,129,265,1,14,2061,168,61,152,9,140.534,79.534,146.687,2005.64502,-55.355,126.823,65.823,146.412,2017.99597,-43.004,483.02301,422.02301,115.289,1773.91895,-287.08099,725.51001,664.51001,102.233,1596.73804,-464.26199,-0.05738,106390,-0.02971,55073,-0.04677,86759,-0.01911,35442,-0.15043,279039,-0.12276,227722,-0.1718,318681,-0.14413,267364,-40103,-19965,-36599,-16461,-106077,-85939,-183036,-162898,0.0157
"1202","E02003352","Bracknell Forest 001",2390,8,153,21,13,21,1952,91,39,83,9,91.677,52.677,79.464,1908.26599,-43.734,60.66,21.66,81.329,1933.65405,-18.346,288.69101,249.69099,61.418,1750.151,-201.849,453.48801,414.48801,55.234,1607.08496,-344.91501,-0.02548,47176,-0.01505,27822,-0.01626,30157,-0.00583,10803,-0.07631,141470,-0.06587,122116,-0.1026,190244,-0.09216,170890,-31584,-19302,-18909,-6627,-85860,-73578,-169023,-156741,0.01369
"1291","E02003370","West Berkshire 004",3068,6,270,203,3,26,2211,136,66,138,9,136.558,70.558,133.729,2159.79199,-51.208,114.031,48.031,135.399,2178.57593,-32.424,421.30701,355.30701,108.149,1957.03296,-253.967,666.625,600.625,97.057,1773.01697,-437.983,-0.06025,111721,-0.02852,52860,-0.04851,89984,-0.01678,31123,-0.14234,264034,-0.11061,205173,-0.17461,323903,-0.14288,265042,-42042,-19879,-36574,-14411,-102933,-80770,-186669,-164506,0.01747
"1412","E02003419","Slough 013",3685,53,216,373,16,26,2464,220,87,209,21,255.82001,168.82001,193.935,2350.86694,-113.133,138.39,51.39,203.784,2430.29492,-33.705,894.42999,807.42999,129.008,1929.37,-534.63,1109.047,1022.047,124.918,1769.61694,-694.383,-0.08582,159080,-0.05905,109428,-0.04033,74810,-0.01357,25158,-0.29224,542067,-0.26547,492415,-0.28187,522831,-0.2551,473179,-54024,-37564,-27634,-11174,-180476,-164016,-262503,-246043,0.00414
"1434","E02003402","Reading 014",4973,26,651,500,15,21,1727,176,265,1580,12,417.806,152.806,1515.73999,1675.26294,-51.737,360.86401,95.864,1539.51697,1694.01501,-32.985,1029.42603,764.42603,1204.75696,1504.06006,-222.94,1390.32996,1125.32996,1057.71594,1380.42297,-346.577,-0.04415,81839,-0.01879,34790,-0.03382,62726,-0.00845,15677,-0.10772,199781,-0.08236,152732,-0.11637,215848,-0.09101,168799,-37115,-15474,-29755,-8114,-74508,-52867,-129726,-108085,0.0113
"1435","E02003353","Bracknell Forest 002",4214,15,189,48,12,28,3416,178,67,237,24,175.53101,108.531,225.42599,3329.07593,-86.924,111.351,44.351,231.57401,3380.37598,-35.624,627.625,560.625,166.89101,2978.08105,-437.91901,914.75201,847.75201,151.10899,2733.67993,-682.32001,-0.03676,68109,-0.02418,44775,-0.02217,41106,-0.00958,17772,-0.12435,230616,-0.11177,207282,-0.16229,300999,-0.14971,277665,-48334,-32091,-27670,-11427,-144380,-128137,-275248,-259005,0.01468
"1450","E02003435","Windsor and Maidenhead 015",3152,14,355,42,12,26,2100,122,93,363,25,204.686,111.686,336.436,2027.94897,-72.051,138.07201,45.072,351.96399,2071.09595,-28.904,618.31201,525.31201,228.814,1770.52905,-329.47101,784.22601,691.22601,214.36099,1638.02002,-461.98001,-0.04483,83061,-0.02677,49565,-0.0287,53222,-0.01064,19726,-0.11513,213485,-0.09707,179989,-0.12645,234503,-0.10839,201007,-42537,-25183,-28802,-11448,-115712,-98358,-191399,-174045,0.00795
"1519","E02003440","Wokingham 002",4086,12,758,42,6,19,2867,123,85,162,12,196.73599,111.736,152.12399,2783.16602,-83.834,153.17799,68.178,159.396,2812.36597,-54.634,602.888,517.888,107.037,2486.3501,-380.64999,863.82098,778.82098,99.465,2279.39404,-587.60602,-0.05446,100955,-0.0321,59484,-0.04558,84547,-0.02322,43076,-0.15853,294038,-0.13617,252567,-0.18433,341903,-0.16197,300432,-55802,-33664,-42495,-20357,-158280,-136142,-273316,-251178,0.01039
"1676","E02003398","Reading 010",5255,19,570,695,29,29,1821,177,346,1528,41,579.04303,233.043,1424.74194,1752.92896,-68.071,459.57001,113.57,1479.34802,1784.80896,-36.191,1425.28894,1079.28894,1010.20398,1533.36597,-287.634,1710.09705,1364.09705,933.83899,1414.44995,-406.54999,-0.06024,111695,-0.0206,38160,-0.04876,90436,-0.00911,16901,-0.12436,230666,-0.08472,157131,-0.11158,206951,-0.07194,133416,-49436,-18914,-39794,-9272,-97428,-66906,-153053,-122531,0.01087
"1753","E02003397","Reading 009",3142,4,108,445,6,31,1986,203,78,271,10,184.972,106.972,257.54599,1923.47998,-62.52,122.641,44.641,266.59399,1961.58301,-24.417,669.49298,591.49298,187.84599,1648.22498,-337.77499,924.04401,846.04401,168.795,1485.71106,-500.289,-0.04114,76259,-0.02397,44426,-0.02595,48135,-0.00879,16302,-0.17496,324542,-0.15779,292709,-0.19213,356402,-0.17497,324569,-29470,-17634,-18584,-6748,-94015,-82179,-157413,-145577,0.01592
"1801","E02003386","West Berkshire 020",3763,7,229,142,12,27,2205,192,194,744,11,329.65601,135.65601,702.02802,2132.52588,-72.474,283.69501,89.695,719.22198,2157.54102,-47.459,907.15601,713.15601,503.71799,1833.56006,-371.44,1083.69299,889.69299,473.466,1715.17603,-489.82401,-0.04777,88580,-0.01744,32325,-0.04176,77470,-0.01144,21215,-0.08597,159464,-0.05565,103209,-0.09753,180913,-0.0672,124658,-37701,-14315,-35067,-11681,-75231,-51845,-123640,-100254,0.02363
"2162","E02003447","Wokingham 009",4416,14,469,107,7,34,3314,153,94,207,17,237.79401,143.79401,194.854,3205.87988,-108.12,182.384,88.384,197.142,3249.45801,-64.542,799.27899,705.27899,140.694,2789.61401,-524.38599,1102.16003,1008.15997,129.026,2552.26611,-761.73401,-0.05451,101050,-0.03546,65720,-0.03949,73234,-0.02044,37904,-0.1817,337018,-0.16265,301688,-0.19992,370829,-0.18087,335499,-56907,-38133,-36686,-17912,-182364,-163590,-301568,-282794,0.01057
"2178","E02003367","West Berkshire 001",2559,7,106,22,3,14,2046,121,27,197,16,67.562,40.562,188.422,2017.19397,-28.806,46.527,19.527,193.02,2031.92798,-14.072,221.73199,194.73199,147.57899,1915.11304,-130.88699,380.11801,353.11801,129.161,1789.01794,-256.98199,-0.0264,48944,-0.01589,29454,-0.01679,31140,-0.00628,11650,-0.06428,119233,-0.05378,99743,-0.09662,179238,-0.08612,159748,-23849,-14270,-16632,-7053,-63759,-54180,-142135,-132556,0.01675
"2235","E02003412","Slough 006",4571,21,264,175,23,44,3246,250,113,414,21,330.073,217.073,383.09399,3094.8291,-151.17101,197.108,84.108,400.272,3189.0791,-56.921,1180.28101,1067.28101,250.424,2512.86108,-733.13898,1447.31201,1334.31201,235.009,2306.83594,-939.164,-0.08589,159232,-0.05945,110196,-0.04358,80825,-0.01714,31789,-0.29529,547737,-0.26885,498701,-0.28172,522562,-0.25528,473526,-63577,-43772,-35777,-15972,-211028,-191223,-309315,-289510,0.00595
"2315","E02003433","Windsor and Maidenhead 013",3007,7,149,80,18,38,2163,144,135,263,10,266.42801,131.42799,244.291,2069.8269,-93.173,224.528,89.528,251.519,2100.49512,-62.505,728.56,593.56,169.85899,1750.41296,-412.58701,901.75,766.75,160.51801,1607.53198,-555.46802,-0.05476,101494,-0.03225,59746,-0.04217,78226,-0.01967,36478,-0.14528,269448,-0.12278,227700,-0.15088,279813,-0.12837,238065,-47073,-28149,-37814,-18890,-132076,-113152,-204726,-185802,0.00679
"2335","E02003413","Slough 007",5264,82,603,570,52,19,2667,386,129,713,43,365.35101,236.351,668.00702,2546.11694,-120.883,184.56,55.56,703.211,2636.91406,-30.086,1358.30298,1229.30298,449.94601,2054.06494,-612.93402,1637.96399,1508.96399,424.04599,1895.07605,-771.92401,-0.08354,154851,-0.0535,99140,-0.03926,72823,-0.00923,17112,-0.26878,498543,-0.23874,442832,-0.25982,481908,-0.22978,426197,-46983,-30665,-23235,-6917,-151965,-135647,-224276,-207958,0.00623
"2347","E02003420","Slough 014",3161,71,106,385,9,32,2122,136,73,212,15,227.16901,154.16901,196.743,2018.49097,-103.509,106.805,33.805,208.293,2098.78809,-23.212,816.42499,743.42499,128.95,1630.172,-491.82901,999.44702,926.44702,124.052,1496.64099,-625.35901,-0.07927,146946,-0.05201,96385,-0.03744,69448,-0.01019,18887,-0.25494,472868,-0.22768,422307,-0.24619,456624,-0.21893,406063,-49930,-32962,-25204,-8236,-158142,-141174,-227905,-210937,0.00386
"2387","E02003364","Bracknell Forest 013",3500,4,99,62,2,41,2800,180,74,223,15,162.239,88.239,212.993,2731.42798,-68.572,136.73399,62.734,215.814,2751.63696,-48.363,523.45203,449.452,159.709,2462.36401,-337.63699,781.88702,707.88702,143.01401,2248.67505,-551.32501,-0.03507,64975,-0.02003,37087,-0.03073,56998,-0.0157,29110,-0.10869,201566,-0.09365,173678,-0.13664,253423,-0.1216,225535,-42147,-25223,-34115,-17191,-121269,-104345,-226084,-209160,0.01384
"2423","E02003446","Wokingham 008",3906,6,243,256,10,29,2726,148,161,314,13,293.724,132.724,297.672,2632.38892,-93.611,277.328,116.328,298.078,2643.89111,-82.109,801.37299,640.37299,228.905,2280.2561,-445.74399,1083.40503,922.40503,206.616,2071.94409,-654.05603,-0.05235,97049,-0.02517,46637,-0.05122,95008,-0.02404,44596,-0.1379,255769,-0.11072,205357,-0.15001,278235,-0.12283,227823,-55518,-27157,-50961,-22600,-140260,-111899,-225823,-197462,0.01421
"2481","E02003457","Wokingham 019",4270,4,298,34,4,20,3522,157,56,153,22,175.64799,119.648,144.59,3421.76807,-100.232,106.88,50.88,149.45,3479.42603,-42.574,653.58698,597.58698,104.974,3028.45801,-493.54199,951.41803,895.41803,95.68,2767.52002,-754.47998,-0.04971,92149,-0.03296,61075,-0.03418,63397,-0.01743,32323,-0.16717,310066,-0.15041,278992,-0.19115,354549,-0.17439,323475,-58117,-38623,-38087,-18593,-187400,-167906,-322682,-303188,0.01338
