"","geo_code","geo_label","all","light_rail","train","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"1891","E02003252","Peterborough 016",4885,3,248,407,38,29,2699,415,357,659,30,640.47699,283.47699,606.53497,-166.53999,452.10199,95.102,643.32202,-57.228,1599.64502,1242.64502,420.69501,-721.97198,1822.52905,1465.52905,391.03,-861.07898,-0.15126,280591,-0.06651,123380,-0.10664,197834,-0.0219,40623,-0.36034,668512,-0.2756,511301,-0.30101,558429,-0.21626,401218,-85176,-37782,-61140,-13746,-201100,-153706,-246958,-199564,0.00612
"1936","E02003733","East Cambridgeshire 002",3838,2,160,73,4,24,3169,201,63,130,12,150.36301,87.363,122.079,-70.33,80.977,17.977,129.81,-15.367,407.241,344.241,93.143,-272.646,620.302,557.302,87.243,-454.99301,-0.08061,149521,-0.04858,90101,-0.04725,87655,-0.01522,28235,-0.17513,324893,-0.1431,265473,-0.23306,432373,-0.20103,372953,-65334,-37828,-38126,-10620,-144781,-117275,-274209,-246703,0.00557
"1951","E02003763","Huntingdonshire 011",5144,5,83,263,21,49,3621,329,321,436,16,513.23798,192.23801,402.95901,-131.853,429.298,108.298,410.12201,-69.027,1075.35803,754.35797,306.543,-518.89899,1353.16003,1032.16003,290.97198,-738.78198,-0.09174,170162,-0.04334,80375,-0.06582,122093,-0.01742,32306,-0.19095,354246,-0.14255,264459,-0.22642,420051,-0.17802,330264,-91873,-42537,-68926,-19590,-191485,-142149,-316748,-267412,0.00668
"1966","E02003725","Cambridge 007",3480,22,274,173,8,15,769,46,1271,880,22,1443.69202,172.692,784.04901,-50.51,1344.49402,73.494,838.89899,-24.058,1298.52698,27.527,870.354,-14.052,1334.88306,63.883,861.30402,-34.802,-0.05718,106059,-0.00819,15173,-0.05226,96939,-0.00327,6053,-0.05605,103971,-0.00706,13085,-0.06254,116004,-0.01355,25118,-75167,-10653,-70425,-5911,-70621,-6107,-82252,-17738,0.00603
"1975","E02003755","Huntingdonshire 003",3862,4,58,80,7,26,3044,242,71,318,12,165.696,94.696,298.35699,-66.146,104.953,33.953,309.08801,-22.149,475.073,404.073,221.44299,-270.61401,688.26898,617.26898,201.033,-439.83899,-0.04476,83004,-0.02713,50313,-0.02391,44352,-0.00629,11661,-0.10057,186571,-0.08295,153880,-0.14167,262818,-0.12405,230127,-52624,-31280,-30444,-9100,-121840,-100496,-238432,-217088,0.00991
"1976","E02003255","Peterborough 019",4044,1,83,258,16,50,2857,335,205,217,22,420.62201,215.62199,201.666,-156.84,293.979,88.979,211.336,-63.143,1188.03296,983.03302,143.386,-708.53601,1431.901,1226.901,133.84399,-894.61499,-0.15966,296184,-0.08333,154581,-0.10774,199876,-0.03141,58273,-0.443,821866,-0.36667,680263,-0.38849,720738,-0.31216,579135,-88924,-45902,-62339,-19317,-241088,-198066,-308656,-265634,0.00482
"2039","E02003773","Huntingdonshire 021",5229,9,281,134,28,34,3401,332,288,700,22,468.82001,180.82001,652.23798,-107.556,405.14499,117.145,664.92499,-65.819,1059.59998,771.59998,475.07599,-440.54901,1266.28796,978.28802,458.323,-598.85303,-0.08398,155764,-0.03108,57623,-0.07233,134178,-0.01943,36037,-0.13643,253089,-0.08353,154948,-0.17029,315908,-0.11739,217767,-80486,-31168,-69574,-20256,-138730,-89412,-237980,-188662,0.00813
"2042","E02006874","South Cambridgeshire 021",3720,4,139,116,5,31,2827,149,65,367,17,142.033,77.033,344.86499,-48.729,101.744,36.744,360.112,-25.343,379.79401,314.79401,249.14799,-175.85699,599.32703,534.32703,222.62199,-346.91299,-0.04038,74871,-0.02115,39212,-0.03413,63314,-0.01491,27655,-0.07136,132354,-0.05213,96695,-0.12367,229405,-0.10445,193746,-56818,-29513,-48106,-20801,-103405,-76100,-236069,-208764,NA
"2052","E02003239","Peterborough 003",3905,2,98,206,6,30,2973,276,181,117,16,395.552,214.552,108.386,-170.213,282.995,101.995,112.61,-82.229,1164.22595,983.22601,77.661,-777.61298,1389.75903,1208.75903,72.757,-963.56897,-0.14243,264218,-0.08446,156679,-0.08956,166150,-0.0316,58611,-0.43513,807262,-0.37716,699723,-0.38137,707519,-0.3234,599980,-82701,-47919,-55685,-20903,-245931,-211149,-317652,-282870,0.00435
"2102","E02003731","Cambridge 013",3894,19,262,224,7,41,1284,125,1024,888,20,1239.54199,215.54201,806.716,-90.131,1178.66199,154.662,826.948,-63.195,1366.55701,342.55701,707.521,-121.754,1464.78296,440.78299,693.13098,-185.369,-0.13108,243149,-0.02225,41252,-0.12227,226819,-0.01344,24922,-0.13731,254714,-0.02848,52817,-0.14379,266736,-0.03496,64839,-115160,-20711,-112823,-18374,-121281,-26832,-147709,-53260,0.00782
"2137","E02003770","Huntingdonshire 018",3675,5,290,61,8,25,2834,177,105,159,11,193.948,88.948,151.189,-70.76,157.576,52.576,154.495,-41.686,489.15799,384.15799,117.271,-297.853,670.85101,565.85101,109.027,-450.689,-0.05375,99686,-0.02551,47310,-0.03969,73623,-0.01145,21247,-0.10707,198618,-0.07884,146242,-0.14482,268657,-0.11659,216281,-55791,-26786,-41507,-12502,-111088,-82083,-208215,-179210,0.00992
"2214","E02003766","Huntingdonshire 014",3229,6,195,66,13,29,2258,189,208,258,7,324.07101,116.071,239.021,-83.262,278.27899,70.279,248.46201,-51.771,636.55798,428.55801,184.88901,-303.98801,809.71503,601.71503,170.51199,-440.66101,-0.06129,113678,-0.02493,46227,-0.05126,95098,-0.0149,27647,-0.11446,212332,-0.0781,144881,-0.12993,241024,-0.09357,173573,-62507,-26214,-52014,-15721,-119445,-83152,-190864,-154571,0.01098
"2217","E02003251","Peterborough 015",2885,5,140,143,19,9,1915,196,175,275,8,335.867,160.867,256.60001,-114.798,250.23599,75.236,263.564,-50.972,947.67902,772.67902,179.09399,-543.89099,1072.37402,897.37402,171.81599,-640.854,-0.08742,162166,-0.04147,76917,-0.06142,113933,-0.01546,28684,-0.2353,436525,-0.18935,351276,-0.2025,375673,-0.15655,290424,-49890,-23995,-35961,-10066,-133947,-108052,-162565,-136670,0.00832
"2233","E02003752","Fenland 011",4668,1,76,97,15,35,3668,285,129,337,25,263.384,134.384,310.048,-96.076,134.099,5.099,336.95901,-4.491,664.21997,535.21997,219.27499,-373.884,873.69702,744.69702,205.849,-547.91998,-0.10022,185918,-0.0586,108703,-0.04697,87135,-0.00535,9920,-0.20156,373930,-0.15994,296715,-0.26316,488207,-0.22153,410992,-70088,-39916,-33909,-3737,-151853,-121681,-275588,-245416,0.00347
"2399","E02003254","Peterborough 018",4073,8,136,179,10,22,2967,239,214,284,14,410.54999,196.55,264.55301,-149.888,324.612,110.612,270.40601,-82.663,1124.03406,910.034,186.62199,-686.461,1356.46899,1142.46899,175.332,-872.80402,-0.13474,249954,-0.06841,126894,-0.09759,181045,-0.03126,57985,-0.35997,667834,-0.29364,544774,-0.33446,620493,-0.26813,497433,-80244,-40438,-60362,-20556,-208838,-169032,-282485,-242679,0.00714
"2513","E02003246","Peterborough 010",3569,0,53,502,67,24,1725,559,223,378,38,436.28,213.28,347.961,-107.697,290.069,67.069,367.944,-33.565,1205.07495,982.07501,234.27499,-484.74899,1322.83606,1099.83606,226.87801,-552.39099,-0.09381,174010,-0.04607,85454,-0.06191,114851,-0.01418,26295,-0.24288,450582,-0.19514,362026,-0.20961,388865,-0.16188,300309,-42312,-21061,-28293,-7042,-108877,-87626,-135425,-114174,0.00383
