"","id","msoa1","msoa2","all","light_rail","bus","taxi","motorbike","car_driver","car_passenger","bicycle","foot","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","rail","dist","geo_label_o","geo_label_d","dist_fast","dist_quiet","time_fast","time_quiet","cirquity","distq_f","avslope","avslope_q","clc"
"87069","E02003237 E02003753","E02003237","E02003753",28,0,1,0,0,26,1,0,0,0,0.43,0.43,0,-0.4,0,0,0,0,1.28,1.28,0,-1.19,3.29,3.29,0,-3.05,-4e-04,745,-4e-04,745,0,0,0,0,-0.00121,2248,-0.00121,2248,-0.00241,4479,-0.00241,4479,-384,-384,0,0,-1133,-1133,-2912,-2912,0,13.65166,"Peterborough 001","Huntingdonshire 001",18.675,18.417,7750,9266,1.36797,0.98618,48.72825,0.54841,0
"87070","E02003237 E02003754","E02003237","E02003754",22,0,0,0,2,19,1,0,0,0,0.26,0.26,0,-0.22,0,0,0,0,0.65,0.65,0,-0.56,2.04,2.04,0,-1.76,-0.00029,531,-0.00029,531,0,0,0,0,-0.00075,1399,-0.00075,1399,-0.00196,3637,-0.00196,3637,-236,-236,0,0,-597,-597,-1888,-1888,0,16.31851,"Peterborough 001","Huntingdonshire 002",21.088,21.708,9106,10820,1.29227,1.0294,86.77921,0.80615,0
"87080","E02003237 E02006877","E02003237","E02006877",128,0,12,0,1,109,3,1,2,0,4.35,3.35,1.95,-2.87,1,0,2,0,13.92,12.92,1.8,-11.1,26.09,25.09,1.61,-21.54,-0.00442,8202,-0.00341,6318,-0.00102,1884,0,0,-0.01376,25532,-0.01275,23648,-0.01714,31793,-0.01612,29909,-2523,-1949,-574,0,-8108,-7534,-15197,-14623,0,9.88983,"Peterborough 001","Peterborough 022",13.342,13.149,5560,6162,1.34906,0.98553,56.21346,0.61602,0.78125
"87081","E02003237 E02006878","E02003237","E02006878",26,0,2,0,0,22,0,0,2,0,0.56,0.56,1.96,-0.47,0,0,2,0,2.11,2.11,1.84,-1.79,4.39,4.39,1.66,-3.71,-6e-04,1117,-6e-04,1117,0,0,0,0,-0.00225,4174,-0.00225,4174,-0.00297,5514,-0.00297,5514,-362,-362,0,0,-1366,-1366,-2840,-2840,0,11.61731,"Peterborough 001","Peterborough 023",15.039,14.819,6296,7104,1.29453,0.98537,55.18984,0.5466,0
"87082","E02003238 E02003239","E02003238","E02003239",97,0,1,1,0,56,13,9,17,0,16.71,7.71,15.5,-4.88,10.73,1.73,16.47,-0.83,44.18,35.18,10.24,-22.44,48.85,39.85,9.34,-25.42,-0.00245,4547,-0.00115,2127,-0.00146,2708,-0.00016,288,-0.00661,12254,-0.0053,9834,-0.00457,8471,-0.00326,6051,-1639,-764,-1006,-131,-4385,-3510,-4852,-3977,0,1.93815,"Peterborough 002","Peterborough 003",3.14,2.571,1366,1780,1.6201,0.81879,60.50955,0.66122,9.27835
"87083","E02003238 E02003240","E02003238","E02003240",20,0,0,0,0,18,0,0,2,0,0.27,0.27,1.97,-0.24,0,0,2,0,0.74,0.74,1.93,-0.67,2.09,2.09,1.8,-1.89,-0.00028,520,-0.00028,520,0,0,0,0,-0.00082,1514,-0.00082,1514,-0.00183,3389,-0.00183,3389,-239,-239,0,0,-664,-664,-1890,-1890,0,11.01601,"Peterborough 002","Peterborough 004",18.926,24.229,8338,10852,1.71805,1.2802,68.1602,0.89562,0
"87084","E02003238 E02003241","E02003238","E02003241",28,0,2,0,0,18,3,5,0,0,6.5,1.5,0,-1.16,9.4,4.4,0,-3.77,7.68,2.68,0,-2.24,10.33,5.33,0,-4.3,-0.00406,7537,-0.00094,1738,-0.00557,10334,-0.00244,4535,-0.0048,8905,-0.00167,3106,-0.00525,9738,-0.00212,3939,-2009,-478,-3089,-1558,-2456,-925,-3304,-1773,0,6.37386,"Peterborough 002","Peterborough 005",8.091,10.599,3434,4032,1.2694,1.30997,46.96576,0.11322,17.85714
"87085","E02003238 E02003242","E02003238","E02003242",284,0,13,3,2,166,19,55,26,0,80.19,25.19,23.23,-18.35,67.61,12.61,24.53,-9.11,142.42999,87.43,15.54,-62.89,147.87,92.87,14.95,-66.85,-0.01109,20581,-0.0034,6304,-0.00918,17032,-0.00149,2755,-0.01934,35887,-0.01165,21610,-0.01549,28746,-0.0078,14469,-6661,-2065,-5621,-1025,-11677,-7081,-12122,-7526,0,1.84996,"Peterborough 002","Peterborough 006",2.211,2.211,940,940,1.19516,1,31.65988,0.3166,19.3662
"87086","E02003238 E02003243","E02003238","E02003243",84,0,3,0,0,62,4,13,2,0,20.39,7.39,1.81,-6.54,14.22,1.22,2,-1.19,38.94,25.94,1.24,-22.54,42.66,29.66,1.12,-25.74,-0.00627,11632,-0.00225,4175,-0.00437,8103,-0.00035,646,-0.01197,22213,-0.00795,14756,-0.01037,19236,-0.00635,11779,-3872,-1378,-2746,-252,-7241,-4747,-7915,-5421,0,3.27006,"Peterborough 002","Peterborough 007",4.187,4.191,1736,1734,1.2804,1.00096,14.33007,0.14316,15.47619
"87087","E02003238 E02003244","E02003238","E02003244",33,0,0,0,0,31,0,2,0,0,4.83,2.83,0,-2.83,2,0,0,0,14.59,12.59,0,-12.59,16.26,14.26,0,-14.26,-0.00184,3407,-0.00108,1998,-0.00076,1409,0,0,-0.00565,10483,-0.00489,9074,-0.00473,8770,-0.00397,7361,-1210,-710,-500,0,-3663,-3163,-4085,-3585,0,4.03981,"Peterborough 002","Peterborough 008",4.923,5.237,2032,2118,1.21862,1.06378,18.28154,0.13366,6.06061
