"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"6600","E02006899","Birmingham 138",3294,42,1447,897,50,524,50,247,19,4,14,122.03,80.03,1404.1801,878.25702,-18.743,62.585,20.585,1442.8621,889.61401,-7.386,590.81403,548.81403,1116.123,785.078,-111.922,870.94299,828.94299,972.92798,716.146,-180.854,-0.02335,43219,-0.01282,23686,-0.01473,27314,-0.0042,7781,-0.06661,123486,-0.05608,103953,-0.06278,116374,-0.05225,96841,-9008,-5589,-5341,-1922,-30605,-27186,-56802,-53383,NA
"6616","E02001886","Birmingham 060",3709,71,352,1910,176,133,12,999,30,10,16,180.257,109.257,338.039,1858.085,-51.915,117.795,46.795,344.78201,1889.45,-20.55,705.50201,634.50201,265.336,1608.499,-301.50101,1057.922,986.922,230.08501,1427.928,-482.07199,-0.06732,124763,-0.03959,73335,-0.03715,68894,-0.00942,17466,-0.25763,477848,-0.2299,426420,-0.28219,523407,-0.25446,471979,-26071,-15063,-17248,-6240,-89445,-78437,-154528,-143520,1.91661
"6650","E02002034","Dudley 035",3582,41,479,2380,143,264,2,235,10,16,12,116.832,75.832,460.89301,2334.363,-45.637,72.605,31.605,473.76999,2359.572,-20.428,507.13199,466.13199,346.759,2114.498,-265.50201,813.17902,772.17902,311.548,1904.198,-475.802,-0.03967,73493,-0.02633,48752,-0.02174,40317,-0.0084,15576,-0.12567,233045,-0.11233,208304,-0.18337,340089,-0.17003,315348,-22228,-14387,-13976,-6135,-78329,-70488,-167343,-159502,2.33695
"6670","E02001876","Birmingham 050",2899,53,890,836,181,161,22,696,34,6,20,148.093,95.093,850.573,813.72101,-22.279,97.213,44.213,871.32001,826.29999,-9.7,644.03198,591.03198,629.29901,704.33398,-131.666,848.02698,795.02698,567.35101,646.72601,-189.274,-0.02751,50940,-0.01381,25528,-0.01805,33483,-0.00435,8071,-0.08582,159123,-0.07212,133711,-0.07096,131561,-0.05726,106149,-10337,-5072,-7493,-2228,-31663,-26398,-50869,-45604,1.59506
"6677","E02006897","Birmingham 136",2374,39,899,668,69,176,19,460,19,9,16,108.97,69.97,867.42902,651.40399,-16.596,59.384,20.384,891.90802,661.17603,-6.824,490.116,451.116,678.29199,571.44598,-96.554,716.27802,677.27802,583.22101,511.98199,-156.01801,-0.01641,30353,-0.01055,19473,-0.00756,14011,-0.00169,3131,-0.05897,109314,-0.05311,98434,-0.04432,82145,-0.03845,71265,-7702,-4532,-4497,-1327,-26430,-23260,-47039,-43869,NA
"6735","E02002048","Sandwell 006",2822,16,114,2075,164,39,10,381,5,8,10,79.549,63.549,110.378,2029.791,-45.209,29.181,13.181,113.333,2065.979,-9.021,385.84201,369.84201,86.258,1817.16,-257.84,661.427,645.427,77.002,1615.0179,-459.98199,-0.05029,93168,-0.03849,71277,-0.01786,33119,-0.00605,11228,-0.21579,400205,-0.20398,378314,-0.27149,503552,-0.25968,481661,-23562,-17958,-9025,-3421,-98316,-92712,-190464,-184860,2.15461
"6747","E02001956","Birmingham 130",2899,26,250,1913,183,156,5,334,10,12,10,76.156,50.156,242.98399,1883.4,-29.6,48.121,22.121,246.185,1901.454,-11.546,303.16901,277.16901,198.937,1757.5081,-155.492,550.98798,524.98798,174.881,1600.019,-312.98099,-0.04196,77729,-0.02785,51553,-0.01983,36781,-0.00572,10605,-0.14584,270444,-0.13172,244268,-0.22522,417724,-0.2111,391548,-20033,-13041,-10984,-3992,-62041,-55049,-144609,-137617,2.89506
"6749","E02001908","Birmingham 082",2035,18,279,1029,144,44,11,456,27,2,25,92.503,74.503,267.134,992.72302,-36.277,28.568,10.568,277.01501,1024.986,-4.014,477.27701,459.27701,196.315,809.039,-219.961,647.474,629.474,176.629,721.125,-307.875,-0.02918,54026,-0.02337,43259,-0.00751,13928,-0.00171,3161,-0.14961,277484,-0.14381,266717,-0.14879,275952,-0.14298,265185,-10815,-8984,-2647,-816,-51591,-49760,-81264,-79433,1.49721
"6751","E02002154","Wolverhampton 006",2250,57,161,1456,164,55,24,296,12,16,9,139.16,82.16,152.297,1404.908,-51.092,122.582,65.582,152.78101,1415.36,-40.64,492.14899,435.14899,113.163,1188.261,-267.73901,676.005,619.005,100.757,1065.839,-390.16101,-0.05324,98662,-0.03564,66038,-0.03837,71168,-0.02078,38544,-0.16846,312433,-0.15087,279809,-0.18338,340115,-0.16579,307491,-21814,-14705,-17529,-10420,-77154,-70045,-127767,-120658,1.52518
"6769","E02001900","Birmingham 074",2234,53,381,1114,79,125,15,441,13,7,6,130.11,77.11,364.293,1077.677,-36.323,77.901,24.901,372.97,1103.1219,-10.878,507.76599,454.76599,278.34399,903.27197,-210.728,693.51501,640.51501,246.058,806.55402,-307.44601,-0.02805,51925,-0.01859,34394,-0.01135,21050,-0.0019,3519,-0.1188,220298,-0.10935,202767,-0.11725,217418,-0.10779,199887,-13357,-8576,-6777,-1996,-50551,-45770,-81911,-77130,1.84213
"6774","E02001904","Birmingham 078",2508,40,253,1330,152,101,0,580,27,11,14,134.358,94.358,240.08701,1282.38,-47.62,59.956,19.956,251.239,1319.593,-10.408,578.82202,538.82202,170.08299,1061.946,-268.05399,794.95502,754.95502,154.661,944.78198,-385.21799,-0.05001,92672,-0.03596,66615,-0.01992,36951,-0.00588,10894,-0.22073,409403,-0.20668,383346,-0.22444,416303,-0.21039,390246,-18956,-13474,-9143,-3661,-75002,-69520,-118615,-113133,1.35611
"6779","E02002111","Walsall 002",2229,55,214,1552,177,26,0,176,4,22,3,131.377,76.377,202.07899,1502.8409,-49.159,114.133,59.133,200.248,1518.046,-33.954,451.37399,396.37399,142.623,1303.749,-248.25101,610.16302,555.16302,132.131,1187.748,-364.25201,-0.06116,113372,-0.03384,62696,-0.04027,74688,-0.01295,24012,-0.17422,323139,-0.1469,272463,-0.19432,360429,-0.167,309753,-29493,-16074,-22276,-8857,-85280,-71861,-142074,-128655,1.12454
"6785","E02001889","Birmingham 063",1987,9,231,1077,151,22,4,438,29,2,24,73.456,64.456,222.05099,1042.374,-34.626,12.154,3.154,230.651,1075.4,-1.6,421.409,412.409,166.26199,858.961,-218.039,599.672,590.672,147.09,761.69202,-315.30801,-0.02388,44200,-0.02128,39377,-0.00314,5824,-0.00054,1001,-0.13677,253639,-0.13417,248816,-0.13934,258425,-0.13674,253602,-9676,-8556,-1464,-344,-50134,-49014,-80682,-79562,1.69585
