"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"1348","E02002768","North Lincolnshire 020",2981,42,212,2486,145,15,0,35,5,20,21,120.597,78.597,197.616,2427.989,-58.011,54.876,12.876,210.065,2476.0281,-9.972,385.81,343.81,138.685,2243.2529,-242.74699,539.79303,497.793,127.686,2112.9641,-373.03601,-0.05175,95987,-0.03512,65132,-0.02502,46404,-0.00838,15549,-0.11904,220832,-0.10241,189977,-0.1704,316124,-0.15377,285269,-38483,-26721,-18162,-6400,-95995,-84233,-191846,-180084,1.26842
"1375","E02002763","North Lincolnshire 015",2992,230,353,1909,272,5,2,145,10,53,13,389.42999,159.42999,331.065,1802.797,-106.203,345.78601,115.786,334.28101,1834.817,-74.183,979.01898,749.01898,242.19299,1416.994,-492.00601,1137.822,907.82202,226.399,1305.519,-603.48102,-0.10031,186080,-0.03749,69534,-0.09722,180355,-0.0344,63809,-0.20816,386188,-0.14534,269642,-0.18785,348496,-0.12503,231950,-57180,-20407,-55760,-18987,-123414,-86641,-153153,-116380,1.23459
"1423","E02002770","North Lincolnshire 022",3034,65,263,2423,156,12,2,76,3,21,13,129.636,64.636,249.582,2377.4341,-45.566,95.029,30.029,255.401,2402.95,-20.049,324.39099,259.39099,198.685,2251.728,-171.272,510.37799,445.37799,180.27499,2099.5129,-323.487,-0.06718,124610,-0.03487,64680,-0.04598,85292,-0.01367,25362,-0.12858,238526,-0.09627,178596,-0.18407,341480,-0.15176,281550,-46192,-23927,-31423,-9158,-96482,-74217,-201072,-178807,NA
"1432","E02002756","North Lincolnshire 008",3085,195,862,1427,400,15,0,120,28,18,20,335.694,140.694,817.29303,1360.736,-66.264,251.03799,56.038,837.67297,1404.441,-22.559,967.96399,772.96399,600.01501,1075.292,-351.70801,1092.5291,897.52899,568.30499,1011.141,-415.85901,-0.0329,61020,-0.0146,27077,-0.02332,43254,-0.00502,9311,-0.07459,138378,-0.0563,104435,-0.06435,119361,-0.04605,85418,-19458,-8634,-13870,-3046,-49479,-38655,-66711,-55887,0.86021
"1594","E02002731","North East Lincolnshire 006",2182,200,520,1011,198,11,5,163,40,23,11,352.76401,152.76401,474.83401,936.65399,-74.346,282.60901,82.609,494.508,972.88898,-38.111,869.31299,669.31299,308.228,694.79498,-316.20499,919.76703,719.76703,306.08099,662.32501,-348.67499,-0.06632,123017,-0.02482,46029,-0.05151,95544,-0.01001,18556,-0.12265,227537,-0.08115,150549,-0.09832,182399,-0.05682,105411,-35408,-13386,-28358,-6336,-70533,-48511,-84186,-62164,0.31075
"1619","E02002734","North East Lincolnshire 009",2291,167,235,1459,203,7,0,163,17,18,22,321.91501,154.91499,215.632,1356.472,-102.528,239.69701,72.697,222.19501,1414.193,-44.807,868.60901,701.60901,138.541,1000.773,-458.22699,939.92499,772.92499,135.79201,946.00299,-512.99701,-0.07596,140905,-0.03494,64813,-0.05277,97890,-0.01175,21798,-0.17679,327976,-0.13577,251884,-0.15312,284066,-0.1121,207974,-40221,-18569,-29427,-7775,-97876,-76224,-119638,-97986,0.39399
"1650","E02002727","North East Lincolnshire 002",1706,160,538,582,172,9,0,181,34,10,20,271.52802,111.528,497.32401,542.57599,-39.424,215.311,55.311,519.20398,563.07397,-18.926,658.73999,498.73999,339.22699,415.349,-166.65199,697.23102,537.23102,335.599,395.35101,-186.649,-0.05291,98137,-0.01605,29755,-0.04417,81935,-0.00731,13553,-0.08332,154558,-0.04645,86176,-0.06431,119303,-0.02745,50921,-24835,-7731,-20986,-3882,-43156,-26052,-51823,-34719,0.23357
"1669","E02002676","Kingston upon Hull 025",3642,359,711,1709,352,21,4,393,39,24,30,646.26501,287.26501,640.72302,1566.438,-142.563,529.492,170.492,665.65802,1626.4139,-82.586,1526.323,1167.323,409.79099,1141.651,-567.349,1633.552,1274.552,401.048,1074.502,-634.49799,-0.15783,292776,-0.06867,127372,-0.12371,229499,-0.03455,64095,-0.33926,629386,-0.2501,463982,-0.26232,486638,-0.17316,321234,-68164,-29390,-56703,-17929,-150400,-111626,-175759,-136985,0.16935
"1741","E02002769","North Lincolnshire 021",2564,64,104,2175,132,11,4,33,3,23,15,140.052,76.052,100.185,2109.6211,-65.379,109.035,45.035,100.631,2136.6841,-38.316,430.625,366.625,81.46,1863.741,-311.259,643.53198,579.53198,73.689,1678.274,-496.72699,-0.08359,155070,-0.04432,82204,-0.0664,123177,-0.02712,50311,-0.20923,388164,-0.16995,315298,-0.22903,424900,-0.18975,352034,-49679,-26390,-39750,-16461,-135446,-112157,-219447,-196158,0.91114
"1758","E02002712","East Riding of Yorkshire 029",3403,122,306,2480,201,19,1,185,5,44,40,280.66101,158.661,279.92001,2367.7471,-112.253,185.65401,63.654,294.77301,2434.918,-45.082,808.52802,686.52802,185.362,2001.769,-478.23099,1015.27,893.27002,180.403,1833.277,-646.72302,-0.1067,197919,-0.06613,122656,-0.06806,126247,-0.02748,50984,-0.25439,471939,-0.21382,396676,-0.25485,472792,-0.21428,397529,-73786,-43866,-52765,-22845,-199612,-169692,-296117,-266197,0.30676
