"","geo_code","geo_label","all","bicycle","foot","car_driver","car_passenger","train","light_rail","bus","taxi","motorbike","other","govtarget_slc","govtarget_sic","govtarget_slw","govtarget_sld","govtarget_sid","gendereq_slc","gendereq_sic","gendereq_slw","gendereq_sld","gendereq_sid","dutch_slc","dutch_sic","dutch_slw","dutch_sld","dutch_sid","ebike_slc","ebike_sic","ebike_slw","ebike_sld","ebike_sid","govtarget_sldeath_heat","govtarget_slvalue_heat","govtarget_sideath_heat","govtarget_sivalue_heat","gendereq_sldeath_heat","gendereq_slvalue_heat","gendereq_sideath_heat","gendereq_sivalue_heat","dutch_sldeath_heat","dutch_slvalue_heat","dutch_sideath_heat","dutch_sivalue_heat","ebike_sldeath_heat","ebike_slvalue_heat","ebike_sideath_heat","ebike_sivalue_heat","govtarget_slco2","govtarget_sico2","gendereq_slco2","gendereq_sico2","dutch_slco2","dutch_sico2","ebike_slco2","ebike_sico2","avslope"
"4540","E02001584","Rotherham 007",3493,29,83,2834,242,36,57,174,5,27,6,71.586,42.586,81.583,2799.803,-34.197,57.203,28.203,81.343,2811.8311,-22.169,264.992,235.992,72.617,2646.3689,-187.631,613.25403,584.25403,61.79,2365.9221,-468.078,-0.04672,86590,-0.02655,49181,-0.03549,65834,-0.01533,28425,-0.1532,284142,-0.13303,246733,-0.25656,475913,-0.23639,438504,-27398,-15096,-22975,-10673,-85115,-72813,-212382,-200080,3.47532
"4571","E02006844","Sheffield 074",2552,67,1151,624,94,132,171,275,18,3,17,115.356,48.356,1124.637,614.85303,-9.147,88.034,21.034,1144.495,615.07501,-8.925,389.90201,322.90201,956.66199,571.72601,-52.274,636.13898,569.13898,824.14001,523.93402,-100.066,-0.00986,18239,-0.00457,8439,-0.00756,14027,-0.00228,4227,-0.02648,49082,-0.0212,39282,-0.01629,30177,-0.01101,20377,-6777,-2417,-7187,-2827,-16341,-11981,-30990,-26630,3.36246
"4625","E02001545","Doncaster 007",3880,79,197,2969,259,165,0,169,11,17,14,252.03,173.03,183.96201,2838.4729,-130.52699,125.414,46.414,192.793,2933.75,-35.25,929.10199,850.10199,128.524,2333.5229,-635.47699,1170.7,1091.7,120.967,2140.75,-828.25,-0.11749,217928,-0.08529,158190,-0.05666,105102,-0.02445,45364,-0.39416,731236,-0.36195,671498,-0.36635,679639,-0.33414,619901,-59008,-42768,-29809,-13569,-210684,-194444,-299395,-283155,0.48883
"4632","E02001658","Sheffield 048",1841,11,176,859,136,11,161,448,15,11,13,37.966,26.966,172.896,847.14899,-11.851,18.502,7.502,175.578,855.02899,-3.971,202.608,191.608,150.194,778.104,-80.896,431.54099,420.54099,127.128,677.01001,-181.989,-0.01157,21405,-0.00782,14464,-0.00476,8816,-0.00101,1875,-0.05771,107018,-0.05397,100077,-0.08301,153946,-0.07926,147005,-5490,-3444,-3066,-1020,-23189,-21143,-53124,-51078,4.01157
"4771","E02001637","Sheffield 027",1829,21,211,913,151,21,46,407,25,4,30,65.022,44.022,204.52299,892.27502,-20.725,38.132,17.132,208.49001,904.76398,-8.236,302.13501,281.13501,166.659,782.18298,-130.817,492.03,471.03,143.73801,687.93402,-225.06599,-0.01502,27798,-0.01048,19391,-0.00654,12126,-0.00201,3719,-0.07153,132643,-0.06699,124236,-0.08436,156453,-0.07983,148046,-7708,-5321,-4410,-2023,-32895,-30508,-61949,-59562,2.86747
"4780","E02001532","Barnsley 024",4477,37,484,3422,248,109,9,111,7,33,17,83.5,46.5,474.64401,3390.614,-31.386,61.357,24.357,478.284,3406.813,-15.187,308.241,271.241,414.11801,3253.072,-168.92799,673.49298,636.49298,348.94501,2997.481,-424.51901,-0.03347,62003,-0.01911,35373,-0.02187,40571,-0.00752,13941,-0.08446,156617,-0.07011,129987,-0.18313,339675,-0.16878,313045,-24145,-14396,-16261,-6512,-62174,-52425,-196526,-186777,3.80487
"4903","E02001643","Sheffield 033",2701,61,418,1667,139,33,6,336,4,19,18,89.952,28.952,411.974,1650.897,-16.103,113.175,52.175,407.285,1637.751,-29.249,236.93401,175.93401,375.72501,1574.093,-92.907,546.41998,485.42001,314.479,1397.595,-269.405,-0.02153,39879,-0.00655,12079,-0.02083,38634,-0.00584,10834,-0.04878,90433,-0.03379,62633,-0.08134,150833,-0.06635,123033,-15369,-4823,-18698,-8152,-33420,-22874,-86513,-75967,4.98775
"4924","E02001561","Doncaster 023",2591,101,450,1389,260,53,1,293,27,12,5,225.189,124.189,421.02899,1326.944,-62.056,152.968,51.968,435.354,1363.718,-25.282,739.52502,638.52502,295.957,1072.67,-316.32999,881.867,780.867,274.185,991.07703,-397.923,-0.04736,87808,-0.02856,52944,-0.02676,49634,-0.00796,14770,-0.13873,257331,-0.11993,222467,-0.12881,238919,-0.11001,204055,-22001,-13143,-13328,-4470,-68607,-59749,-100397,-91539,1.1294
"4925","E02001557","Doncaster 019",4347,180,802,2310,471,126,3,341,58,23,33,388.81201,208.812,745.198,2206.0601,-103.94,293.80899,113.809,770.83002,2251.7939,-58.206,1253.708,1073.708,500.39001,1783.106,-526.89398,1452.311,1272.311,475.51599,1663.799,-646.20099,-0.08504,157709,-0.04241,78642,-0.06701,124291,-0.02438,45224,-0.21081,391053,-0.16819,311986,-0.19914,369407,-0.15652,290340,-44671,-21241,-37860,-14430,-114799,-91369,-164302,-140872,0.87214
"4956","E02001563","Doncaster 025",3063,93,161,2278,179,94,3,213,14,17,11,226.604,133.604,152.39101,2178.2141,-99.786,148.994,55.994,156.96001,2236.3279,-41.672,753.85602,660.85602,113.817,1789.438,-488.56201,941.10303,848.10303,105.539,1641.921,-636.07898,-0.09508,176340,-0.05768,106967,-0.0602,111671,-0.0228,42298,-0.28437,527533,-0.24697,458160,-0.2693,499581,-0.2319,430208,-47642,-28912,-31457,-12727,-150031,-131301,-209348,-190618,0.85517
